step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,1.000000e-03,9.428201e-01,9.795350e-10,0.000000e+00,9.428201e-01,9.428201e-01,0.000000e+00,0.000000e+00
1,2.000000e-03,9.428201e-01,9.189139e-10,1.573830e-04,9.428201e-01,9.429775e-01,3.042488e-08,1.573830e-01
2,3.000000e-03,9.428201e-01,3.700420e-10,2.735047e-04,9.428201e-01,9.430936e-01,-4.087586e-07,1.161213e-01
3,4.000000e-03,9.428201e-01,2.056586e-10,7.119356e-04,9.428201e-01,9.435320e-01,-2.388799e-07,4.384307e-01
4,5.000000e-03,9.428201e-01,2.329905e-10,1.050407e-03,9.428201e-01,9.438705e-01,4.019218e-08,3.384710e-01
5,6.000000e-03,9.428201e-01,1.479934e-10,1.708927e-03,9.428201e-01,9.445290e-01,4.527323e-08,6.585207e-01
6,7.000000e-03,9.428201e-01,1.313021e-10,2.299439e-03,9.428201e-01,9.451196e-01,-5.431078e-08,5.905115e-01
7,8.000000e-03,9.428201e-01,1.848074e-10,3.163604e-03,9.428201e-01,9.459837e-01,5.497192e-08,8.641650e-01
8,9.000000e-03,9.428201e-01,2.292488e-10,4.009660e-03,9.428201e-01,9.468298e-01,1.081694e-07,8.460564e-01
9,1.000000e-02,9.428201e-01,2.246372e-10,5.081043e-03,9.428201e-01,9.479012e-01,6.905909e-08,1.071383e+00
10,1.100000e-02,9.428201e-01,2.159139e-10,6.178011e-03,9.428201e-01,9.489981e-01,2.781453e-08,1.096968e+00
11,1.200000e-02,9.428201e-01,2.330581e-10,7.462243e-03,9.428201e-01,9.502824e-01,7.013123e-08,1.284233e+00
12,1.300000e-02,9.428201e-01,2.343541e-10,8.804247e-03,9.428201e-01,9.516244e-01,7.319889e-08,1.342004e+00
13,1.400000e-02,9.428201e-01,2.584946e-10,1.030682e-02,9.428201e-01,9.531269e-01,8.315326e-08,1.502572e+00
14,1.500000e-02,9.428201e-01,2.562106e-10,1.188895e-02,9.428201e-01,9.547091e-01,5.213741e-08,1.582129e+00
15,1.600000e-02,9.428201e-01,2.867591e-10,1.361408e-02,9.428201e-01,9.564342e-01,9.769296e-08,1.725128e+00
16,1.700000e-02,9.428201e-01,2.843837e-10,1.543278e-02,9.428201e-01,9.582529e-01,6.188194e-08,1.818708e+00
17,1.800000e-02,9.428201e-01,3.299765e-10,1.738339e-02,9.428201e-01,9.602035e-01,1.130771e-07,1.950605e+00
18,1.900000e-02,9.428201e-01,3.783701e-10,1.943630e-02,9.428201e-01,9.622564e-01,1.194939e-07,2.052913e+00
19,2.000000e-02,9.428201e-01,4.138253e-10,2.161429e-02,9.428201e-01,9.644344e-01,1.301832e-07,2.177987e+00
20,2.100000e-02,9.428201e-01,4.946518e-10,2.389989e-02,9.428201e-01,9.667200e-01,1.826556e-07,2.285601e+00
21,2.200000e-02,9.428201e-01,4.321356e-10,2.630646e-02,9.428201e-01,9.691266e-01,4.243150e-08,2.406568e+00
22,2.300000e-02,9.428201e-01,4.937260e-10,2.882380e-02,9.428201e-01,9.716439e-01,1.773981e-07,2.517348e+00
23,2.400000e-02,9.428201e-01,5.461588e-10,3.145968e-02,9.428201e-01,9.742798e-01,1.917386e-07,2.635881e+00
24,2.500000e-02,9.428201e-01,5.754914e-10,3.420821e-02,9.428201e-01,9.770283e-01,1.458853e-07,2.748527e+00
25,2.600000e-02,9.428201e-01,5.822676e-10,3.707385e-02,9.428201e-01,9.798940e-01,1.301277e-07,2.865635e+00
26,2.700000e-02,9.428201e-01,6.449083e-10,4.005321e-02,9.428201e-01,9.828733e-01,2.098567e-07,2.979367e+00
27,2.800000e-02,9.428201e-01,7.607730e-10,4.314886e-02,9.428201e-01,9.859690e-01,2.772430e-07,3.095649e+00
28,2.900000e-02,9.428201e-01,7.286701e-10,4.635887e-02,9.428201e-01,9.891790e-01,1.278487e-07,3.210007e+00
29,3.000000e-02,9.428201e-01,7.997903e-10,4.968468e-02,9.428201e-01,9.925048e-01,2.561341e-07,3.325815e+00
