step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
1,1.000000e-03,2.380952e-04,4.370540e-02,5.070492e-02,4.370540e-02,3.588480e-18,5.070492e-02,4.019539e-02,5.070492e-02,1.160152e+00,7.927316e-01
2,2.000000e-03,4.761905e-04,8.741081e-02,1.014098e-01,8.741081e-02,7.176960e-18,1.014098e-01,8.039078e-02,1.014098e-01,1.160152e+00,7.927316e-01
3,3.000000e-03,7.142857e-04,1.311162e-01,1.521147e-01,1.311162e-01,1.044189e-17,1.521147e-01,1.205862e-01,1.521147e-01,1.160152e+00,7.927316e-01
4,4.000000e-03,9.523810e-04,1.748216e-01,2.028197e-01,1.748216e-01,1.435392e-17,2.028197e-01,1.607816e-01,2.028197e-01,1.160152e+00,7.927316e-01
5,5.000000e-03,1.190476e-03,2.185270e-01,2.535246e-01,2.185270e-01,1.838122e-17,2.535246e-01,2.009770e-01,2.535246e-01,1.160152e+00,7.927316e-01
6,6.000000e-03,1.428571e-03,2.622324e-01,3.042295e-01,2.622324e-01,2.088378e-17,3.042295e-01,2.411723e-01,3.042295e-01,1.160152e+00,7.927316e-01
7,7.000000e-03,1.666667e-03,3.059378e-01,3.549344e-01,3.059378e-01,3.705415e-17,3.549344e-01,2.813677e-01,3.549344e-01,1.160152e+00,7.927316e-01
8,8.000000e-03,1.904762e-03,3.496432e-01,4.056393e-01,3.496432e-01,2.870784e-17,4.056393e-01,3.215631e-01,4.056393e-01,1.160152e+00,7.927316e-01
9,9.000000e-03,2.142857e-03,3.933486e-01,4.563442e-01,3.933486e-01,5.658074e-17,4.563442e-01,3.617585e-01,4.563442e-01,1.160152e+00,7.927316e-01
10,1.000000e-02,2.380952e-03,4.370540e-01,5.070492e-01,4.370540e-01,4.628971e-17,5.070492e-01,4.019539e-01,5.070492e-01,1.160152e+00,7.927316e-01
11,1.100000e-02,2.619048e-03,4.807595e-01,5.577541e-01,4.807595e-01,4.986278e-17,5.577541e-01,4.421493e-01,5.577541e-01,1.160152e+00,7.927316e-01
12,1.200000e-02,2.857143e-03,5.244649e-01,6.084590e-01,5.244649e-01,5.084746e-17,6.084590e-01,4.823447e-01,6.084590e-01,1.160152e+00,7.927316e-01
13,1.300000e-02,3.095238e-03,5.681703e-01,6.591639e-01,5.681703e-01,7.308251e-17,6.591639e-01,5.225401e-01,6.591639e-01,1.160152e+00,7.927316e-01
14,1.400000e-02,3.333333e-03,6.118757e-01,7.098688e-01,6.118757e-01,6.712829e-17,7.098688e-01,5.627355e-01,7.098688e-01,1.160152e+00,7.927316e-01
15,1.500000e-02,3.571429e-03,6.555811e-01,7.605737e-01,6.555811e-01,4.165844e-17,7.605737e-01,6.029309e-01,7.605737e-01,1.160152e+00,7.927316e-01
16,1.600000e-02,3.809524e-03,6.992865e-01,8.112787e-01,6.992865e-01,5.649351e-17,8.112787e-01,6.431263e-01,8.112787e-01,1.160152e+00,7.927316e-01
17,1.700000e-02,4.047619e-03,7.429919e-01,8.619836e-01,7.429919e-01,6.097504e-17,8.619836e-01,6.833217e-01,8.619836e-01,1.160152e+00,7.927316e-01
18,1.800000e-02,4.285714e-03,7.866973e-01,9.126885e-01,7.866973e-01,8.535109e-17,9.126885e-01,7.235170e-01,9.126885e-01,1.160152e+00,7.927316e-01
19,1.900000e-02,4.523810e-03,8.304027e-01,9.633934e-01,8.304027e-01,8.546841e-17,9.633934e-01,7.637124e-01,9.633934e-01,1.160152e+00,7.927316e-01
20,2.000000e-02,4.761905e-03,8.741081e-01,1.014098e+00,8.741081e-01,5.262598e-17,1.014098e+00,8.039078e-01,1.014098e+00,1.160152e+00,7.927316e-01
21,2.100000e-02,5.000000e-03,9.178135e-01,1.064803e+00,9.178135e-01,7.873675e-17,1.064803e+00,8.441032e-01,1.064803e+00,1.160152e+00,7.927316e-01
22,2.200000e-02,5.238095e-03,9.615189e-01,1.115508e+00,9.615189e-01,1.049023e-16,1.115508e+00,8.842986e-01,1.115508e+00,1.160152e+00,7.927316e-01
23,2.300000e-02,5.476190e-03,1.005224e+00,1.166213e+00,1.005224e+00,1.414214e-16,1.166213e+00,9.244940e-01,1.166213e+00,1.160152e+00,7.927316e-01
24,2.400000e-02,5.714286e-03,1.048930e+00,1.216918e+00,1.048930e+00,9.296650e-17,1.216918e+00,9.646894e-01,1.216918e+00,1.160152e+00,7.927316e-01
25,2.500000e-02,5.952381e-03,1.092635e+00,1.267623e+00,1.092635e+00,9.134910e-17,1.267623e+00,1.004885e+00,1.267623e+00,1.160152e+00,7.927316e-01
26,2.600000e-02,6.190476e-03,1.136341e+00,1.318328e+00,1.136341e+00,1.452428e-16,1.318328e+00,1.045080e+00,1.318328e+00,1.160152e+00,7.927316e-01
27,2.700000e-02,6.428571e-03,1.180046e+00,1.369033e+00,1.180046e+00,1.106657e-16,1.369033e+00,1.085276e+00,1.369033e+00,1.160152e+00,7.927316e-01
28,2.800000e-02,6.666667e-03,1.223751e+00,1.419738e+00,1.223751e+00,1.012420e-16,1.419738e+00,1.125471e+00,1.419738e+00,1.160152e+00,7.927316e-01
29,2.900000e-02,6.904762e-03,1.267457e+00,1.470443e+00,1.267457e+00,9.786250e-17,1.470443e+00,1.165666e+00,1.470443e+00,1.160152e+00,7.927316e-01
30,3.000000e-02,7.142857e-03,1.311162e+00,1.521147e+00,1.311162e+00,9.971455e-17,1.521147e+00,1.205862e+00,1.521147e+00,1.160152e+00,7.927316e-01
