step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,1.000000e-03,1.000000e-03,-1.000007e+00,1.000064e+00,-3.800000e-01,9.428201e-01,0.000000e+00,1227,8.963754e-09,1.077382e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-5.085877e-03,8.130010e-04,-5.085878e-03,8.129951e-04,6.375243e-03,9.795350e-10,1.096877e-02,7.690444e+00,2.163829e-03,-3.072588e-01,4.012247e+02,1.246312e+02,0.000000e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.428201e-01,0.000000e+00,0.000000e+00,1.099943e-01,1.099943e-01,1.099943e-01
1,2.000000e-03,1.000000e-03,-1.000010e+00,1.000071e+00,-3.800000e-01,9.428201e-01,9.104595e-08,1235,8.957255e-09,1.074799e+02,-3.319525e-04,9.121275e-03,6.223699e-02,5.601329e-02,1.573830e-04,1.000000e+00,1.900000e+00,1,0.000000e+00,3.627247e+01,-5.085275e-03,8.131894e-04,-5.085280e-03,8.131885e-04,6.374337e-03,9.189139e-10,1.096706e-02,7.689641e+00,2.163522e-03,-3.134821e-01,4.011796e+02,1.258820e+02,1.494865e-01,3.300000e+04,0.000000e+00,9.428201e-01,9.429775e-01,3.042488e-08,1.573830e-01,1.099942e-01,1.099943e-01,1.099943e-01
2,3.000000e-03,1.000000e-03,-1.000013e+00,1.000080e+00,-3.800000e-01,9.428201e-01,1.401134e-07,1225,9.022647e-09,1.122956e+02,-5.952973e-04,1.324337e-02,8.349708e-02,6.524168e-02,2.735047e-04,1.000000e+00,1.900000e+00,1,0.000000e+00,3.749743e+01,-5.084860e-03,8.132379e-04,-5.084865e-03,8.132385e-04,6.373759e-03,3.700420e-10,1.096682e-02,7.689050e+00,2.163326e-03,-3.195585e-01,4.011520e+02,1.258437e+02,4.775615e-01,3.300000e+04,0.000000e+00,9.428201e-01,9.430936e-01,-4.087586e-07,1.161213e-01,1.099942e-01,1.099943e-01,1.099943e-01
3,4.000000e-03,1.000000e-03,-1.000009e+00,1.000085e+00,-3.800000e-01,9.428201e-01,-7.449652e-08,1230,9.033579e-09,1.064550e+02,-8.804575e-04,2.093017e-02,1.238243e-01,1.086130e-01,7.119356e-04,1.000000e+00,1.900000e+00,1,0.000000e+00,3.635354e+01,-5.084530e-03,8.132051e-04,-5.084540e-03,8.132026e-04,6.373341e-03,2.056586e-10,1.096510e-02,7.688562e+00,2.163184e-03,-3.219843e-01,4.011269e+02,1.259085e+02,1.031077e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.435320e-01,-2.388799e-07,4.384307e-01,1.099942e-01,1.099943e-01,1.099943e-01
4,5.000000e-03,1.000000e-03,-1.000008e+00,1.000089e+00,-3.800000e-01,9.428201e-01,1.286027e-08,1234,8.998154e-09,1.110770e+02,-1.174600e-03,2.603200e-02,1.640817e-01,1.271974e-01,1.050407e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.832654e+01,-5.084332e-03,8.131650e-04,-5.084343e-03,8.131641e-04,6.373098e-03,2.329905e-10,1.096445e-02,7.688261e+00,2.163101e-03,-3.218261e-01,4.011108e+02,1.259274e+02,1.769332e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.438705e-01,4.019218e-08,3.384710e-01,1.099942e-01,1.099943e-01,1.099943e-01
5,6.000000e-03,1.000000e-03,-1.000014e+00,1.000093e+00,-3.800000e-01,9.428201e-01,1.302704e-07,1230,8.998556e-09,1.116036e+02,-1.459133e-03,3.301016e-02,2.043623e-01,1.637746e-01,1.708927e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.838821e+01,-5.084152e-03,8.131384e-04,-5.084160e-03,8.131360e-04,6.372871e-03,1.479934e-10,1.096366e-02,7.687984e+00,2.163024e-03,-3.207940e-01,4.010965e+02,1.259419e+02,2.726227e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.445290e-01,4.527323e-08,6.585207e-01,1.099942e-01,1.099943e-01,1.099943e-01
6,7.000000e-03,1.000000e-03,-1.000007e+00,1.000096e+00,-3.800000e-01,9.428201e-01,-3.761946e-08,1232,9.025759e-09,1.100580e+02,-1.755927e-03,3.862628e-02,2.446298e-01,1.872907e-01,2.299439e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.837758e+01,-5.083982e-03,8.130557e-04,-5.083984e-03,8.130544e-04,6.372682e-03,1.313021e-10,1.096245e-02,7.687703e+00,2.162960e-03,-3.204469e-01,4.010805e+02,1.259501e+02,3.872676e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.451196e-01,-5.431078e-08,5.905115e-01,1.099942e-01,1.099943e-01,1.099943e-01
7,8.000000e-03,1.000000e-03,-1.000008e+00,1.000098e+00,-3.800000e-01,9.428201e-01,1.466605e-09,1232,9.026952e-09,1.108770e+02,-2.043205e-03,4.523111e-02,2.849062e-01,2.202880e-01,3.163604e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.831839e+01,-5.083807e-03,8.130667e-04,-5.083815e-03,8.130631e-04,6.372448e-03,1.848074e-10,1.096132e-02,7.687456e+00,2.162881e-03,-3.188942e-01,4.010684e+02,1.259570e+02,5.233619e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.459837e-01,5.497192e-08,8.641650e-01,1.099941e-01,1.099943e-01,1.099943e-01
8,9.000000e-03,1.000000e-03,-1.000009e+00,1.000101e+00,-3.800000e-01,9.428201e-01,6.372791e-08,1230,9.022964e-09,1.085730e+02,-2.338929e-03,5.111823e-02,3.251764e-01,2.464029e-01,4.009660e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.786536e+01,-5.083657e-03,8.130810e-04,-5.083664e-03,8.130779e-04,6.372242e-03,2.292488e-10,1.096060e-02,7.687238e+00,2.162811e-03,-3.183153e-01,4.010581e+02,1.259613e+02,6.788884e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.468298e-01,1.081694e-07,8.460564e-01,1.099941e-01,1.099943e-01,1.099943e-01
9,1.000000e-02,1.000000e-03,-1.000010e+00,1.000103e+00,-3.800000e-01,9.428201e-01,7.367074e-08,1234,8.952774e-09,1.103426e+02,-2.628320e-03,5.752634e-02,3.654510e-01,2.775138e-01,5.081043e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.688355e+01,-5.083458e-03,8.130484e-04,-5.083465e-03,8.130434e-04,6.371993e-03,2.246372e-10,1.095919e-02,7.686938e+00,2.162726e-03,-3.181976e-01,4.010423e+02,1.259629e+02,8.555507e+00,3.300000e+04,0.000000e+00,9.428201e-01,9.479012e-01,6.905909e-08,1.071383e+00,1.099941e-01,1.099943e-01,1.099943e-01
