step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000168e+00,-2.000000e-01,9.428126e-01,0.000000e+00,499,2.537669e-08,2.057576e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.384162e-02,2.211206e-03,-1.384162e-02,2.211212e-03,1.734951e-02,2.902326e-09,2.879156e-02,1.395414e+01,1.962873e-03,-1.193247e-01,7.286268e+02,3.322642e+02,0.000000e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.428126e-01,0.000000e+00,0.000000e+00,2.000000e-01,2.000000e-01,2.000000e-01
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000227e+00,-2.000000e-01,9.428126e-01,6.179892e-07,499,2.535294e-08,2.032365e+01,-2.994450e-03,2.038309e-04,1.556997e-02,7.784987e-03,3.496010e-05,1.000000e+00,1.500000e+00,1367,8.340560e-12,1.153204e+01,-1.384465e-02,2.211001e-03,-1.384465e-02,2.211002e-03,1.735399e-02,4.833798e-09,2.879738e-02,1.395692e+01,1.963380e-03,-9.907627e-02,7.286413e+02,3.391046e+02,2.564520e-02,3.300000e+04,0.000000e+00,9.428126e-01,9.428475e-01,4.480933e-06,6.992467e-02,1.999999e-01,2.000000e-01,1.999999e-01
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.000268e+00,-2.000000e-01,9.428126e-01,7.630576e-07,499,2.534149e-08,2.123950e+01,-5.627813e-03,3.886868e-04,2.910296e-02,1.455148e-02,1.232190e-04,1.000000e+00,1.500000e+00,1345,1.552589e-11,1.133543e+01,-1.384365e-02,2.211238e-03,-1.384364e-02,2.211245e-03,1.735249e-02,5.520101e-09,2.879592e-02,1.395601e+01,1.963210e-03,-7.708338e-02,7.286063e+02,3.403893e+02,9.227644e-02,3.300000e+04,0.000000e+00,9.428126e-01,9.429358e-01,2.135664e-06,1.765199e-01,1.999998e-01,2.000000e-01,1.999999e-01
3,2.000000e-03,5.000000e-04,-1.000001e+00,1.000300e+00,-2.000000e-01,9.428126e-01,8.153072e-07,499,2.533633e-08,2.041457e+01,-8.305391e-03,5.758060e-04,4.289727e-02,2.144864e-02,2.682076e-04,1.000000e+00,1.500000e+00,1325,2.297231e-11,1.068921e+01,-1.384287e-02,2.211475e-03,-1.384287e-02,2.211480e-03,1.735131e-02,5.185356e-09,2.879470e-02,1.395532e+01,1.963077e-03,-6.224626e-02,7.285795e+02,3.410376e+02,2.017071e-01,3.300000e+04,0.000000e+00,9.428126e-01,9.430808e-01,1.458167e-07,2.899774e-01,1.999997e-01,2.000000e-01,1.999999e-01
4,2.500000e-03,5.000000e-04,-1.000001e+00,1.000326e+00,-2.000000e-01,9.428126e-01,7.619798e-07,499,2.533699e-08,2.157865e+01,-1.097754e-02,7.626483e-04,5.666438e-02,2.833219e-02,4.684097e-04,1.000000e+00,1.500000e+00,1315,3.060674e-11,1.110928e+01,-1.384244e-02,2.211313e-03,-1.384244e-02,2.211318e-03,1.735084e-02,4.209086e-09,2.879346e-02,1.395486e+01,1.963023e-03,-5.379222e-02,7.285537e+02,3.414315e+02,3.532090e-01,3.300000e+04,0.000000e+00,9.428126e-01,9.432810e-01,-1.190559e-06,4.004029e-01,1.999997e-01,2.000000e-01,1.999998e-01
5,3.000000e-03,5.000000e-04,-1.000001e+00,1.000348e+00,-2.000000e-01,9.428126e-01,6.675624e-07,499,2.534233e-08,2.004675e+01,-1.365036e-02,9.495247e-04,7.045403e-02,3.522701e-02,7.241396e-04,1.000000e+00,1.500000e+00,1308,3.779966e-11,1.113357e+01,-1.384184e-02,2.211730e-03,-1.384185e-02,2.211733e-03,1.734983e-02,3.284524e-09,2.879256e-02,1.395437e+01,1.962909e-03,-4.653837e-02,7.285383e+02,3.417048e+02,5.469173e-01,3.300000e+04,0.000000e+00,9.428126e-01,9.435367e-01,-1.181562e-06,5.114587e-01,1.999996e-01,2.000000e-01,1.999998e-01
6,3.500000e-03,5.000000e-04,-1.000001e+00,1.000367e+00,-2.000000e-01,9.428126e-01,5.807619e-07,499,2.534968e-08,2.058634e+01,-1.632310e-02,1.136397e-03,8.424325e-02,4.212162e-02,1.035343e-03,1.000000e+00,1.500000e+00,1302,4.595996e-11,1.016717e+01,-1.384128e-02,2.212076e-03,-1.384128e-02,2.212076e-03,1.734890e-02,2.605546e-09,2.879172e-02,1.395389e+01,1.962804e-03,-4.179915e-02,7.285220e+02,3.419032e+02,7.828107e-01,3.300000e+04,0.000000e+00,9.428126e-01,9.438479e-01,-7.771939e-07,6.224059e-01,1.999996e-01,2.000000e-01,1.999998e-01
7,4.000000e-03,5.000000e-04,-1.000001e+00,1.000384e+00,-2.000000e-01,9.428126e-01,5.206817e-07,499,2.535737e-08,1.981725e+01,-1.899585e-02,1.323270e-03,9.803252e-02,4.901626e-02,1.402028e-03,1.000000e+00,1.500000e+00,1295,5.378120e-11,1.050678e+01,-1.384079e-02,2.212046e-03,-1.384079e-02,2.212046e-03,1.734825e-02,2.158789e-09,2.879072e-02,1.395341e+01,1.962731e-03,-4.038692e-02,7.284986e+02,3.420489e+02,1.060884e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.442146e-01,-3.728335e-07,7.333704e-01,1.999995e-01,2.000000e-01,1.999997e-01
8,4.500000e-03,5.000000e-04,-1.000001e+00,1.000399e+00,-2.000000e-01,9.428126e-01,4.754896e-07,499,2.536450e-08,2.074166e+01,-2.166859e-02,1.510143e-03,1.118218e-01,5.591089e-02,1.824195e-03,1.000000e+00,1.500000e+00,1287,6.006450e-11,1.017992e+01,-1.384034e-02,2.212098e-03,-1.384034e-02,2.212098e-03,1.734763e-02,1.892958e-09,2.878989e-02,1.395298e+01,1.962660e-03,-4.010065e-02,7.284784e+02,3.421665e+02,1.381134e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.446368e-01,-5.617129e-08,8.443323e-01,1.999995e-01,2.000000e-01,1.999997e-01
9,5.000000e-03,5.000000e-04,-1.000001e+00,1.000413e+00,-2.000000e-01,9.428126e-01,4.608722e-07,499,2.537067e-08,1.879090e+01,-2.434134e-02,1.697016e-03,1.256110e-01,6.280552e-02,2.301842e-03,1.000000e+00,1.500000e+00,1283,6.772539e-11,9.736777e+00,-1.383991e-02,2.212133e-03,-1.383991e-02,2.212133e-03,1.734704e-02,1.745262e-09,2.878909e-02,1.395257e+01,1.962594e-03,-4.030108e-02,7.284591e+02,3.422634e+02,1.743556e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.451144e-01,1.654803e-07,9.552944e-01,1.999995e-01,2.000000e-01,1.999997e-01
10,5.500000e-03,5.000000e-04,-1.000001e+00,1.000426e+00,-2.000000e-01,9.428126e-01,4.419047e-07,499,2.537611e-08,1.989510e+01,-2.701408e-02,1.883890e-03,1.394003e-01,6.970016e-02,2.834970e-03,1.000000e+00,1.500000e+00,1280,7.499299e-11,1.005808e+01,-1.383950e-02,2.211902e-03,-1.383950e-02,2.211902e-03,1.734661e-02,1.676438e-09,2.878811e-02,1.395213e+01,1.962545e-03,-4.077335e-02,7.284336e+02,3.423355e+02,2.148154e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.456475e-01,3.042566e-07,1.066256e+00,1.999994e-01,2.000000e-01,1.999997e-01
11,6.000000e-03,5.000000e-04,-1.000001e+00,1.000438e+00,-2.000000e-01,9.428126e-01,4.652687e-07,499,2.537934e-08,2.221663e+01,-2.968683e-02,2.070763e-03,1.531896e-01,7.659479e-02,3.423579e-03,1.000000e+00,1.500000e+00,1276,8.276274e-11,1.028461e+01,-1.383918e-02,2.212053e-03,-1.383918e-02,2.212053e-03,1.734611e-02,1.634123e-09,2.878758e-02,1.395183e+01,1.962488e-03,-4.116499e-02,7.284214e+02,3.424096e+02,2.594938e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.462362e-01,3.806380e-07,1.177218e+00,1.999994e-01,2.000000e-01,1.999997e-01
12,6.500000e-03,5.000000e-04,-1.000001e+00,1.000449e+00,-2.000000e-01,9.428126e-01,4.545870e-07,499,2.538220e-08,2.102370e+01,-3.235958e-02,2.257637e-03,1.669788e-01,8.348942e-02,4.067669e-03,1.000000e+00,1.500000e+00,1273,9.141633e-11,1.042044e+01,-1.383884e-02,2.212075e-03,-1.383884e-02,2.212075e-03,1.734565e-02,1.618763e-09,2.878696e-02,1.395151e+01,1.962436e-03,-4.163415e-02,7.284061e+02,3.424692e+02,3.083914e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.468802e-01,4.238681e-07,1.288180e+00,1.999994e-01,2.000000e-01,1.999997e-01
13,7.000000e-03,5.000000e-04,-1.000001e+00,1.000459e+00,-2.000000e-01,9.428126e-01,4.702987e-07,499,2.538460e-08,2.191668e+01,-3.503232e-02,2.444511e-03,1.807681e-01,9.038405e-02,4.767239e-03,1.000000e+00,1.500000e+00,1270,9.855309e-11,1.111191e+01,-1.383852e-02,2.211734e-03,-1.383852e-02,2.211735e-03,1.734539e-02,1.632030e-09,2.878605e-02,1.395113e+01,1.962407e-03,-4.254634e-02,7.283816e+02,3.425075e+02,3.615096e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.475798e-01,4.968326e-07,1.399142e+00,1.999993e-01,2.000000e-01,1.999997e-01
