step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428126e-01,2.902326e-09,0.000000e+00,9.428126e-01,9.428126e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428126e-01,4.833798e-09,3.496010e-05,9.428126e-01,9.428475e-01,4.480933e-06,6.992467e-02
2,1.500000e-03,9.428126e-01,5.520101e-09,1.232190e-04,9.428126e-01,9.429358e-01,2.135664e-06,1.765199e-01
3,2.000000e-03,9.428126e-01,5.185356e-09,2.682076e-04,9.428126e-01,9.430808e-01,1.458167e-07,2.899774e-01
4,2.500000e-03,9.428126e-01,4.209086e-09,4.684097e-04,9.428126e-01,9.432810e-01,-1.190559e-06,4.004029e-01
5,3.000000e-03,9.428126e-01,3.284524e-09,7.241396e-04,9.428126e-01,9.435367e-01,-1.181562e-06,5.114587e-01
6,3.500000e-03,9.428126e-01,2.605546e-09,1.035343e-03,9.428126e-01,9.438479e-01,-7.771939e-07,6.224059e-01
7,4.000000e-03,9.428126e-01,2.158789e-09,1.402028e-03,9.428126e-01,9.442146e-01,-3.728335e-07,7.333704e-01
8,4.500000e-03,9.428126e-01,1.892958e-09,1.824195e-03,9.428126e-01,9.446368e-01,-5.617129e-08,8.443323e-01
9,5.000000e-03,9.428126e-01,1.745262e-09,2.301842e-03,9.428126e-01,9.451144e-01,1.654803e-07,9.552944e-01
10,5.500000e-03,9.428126e-01,1.676438e-09,2.834970e-03,9.428126e-01,9.456475e-01,3.042566e-07,1.066256e+00
11,6.000000e-03,9.428126e-01,1.634123e-09,3.423579e-03,9.428126e-01,9.462362e-01,3.806380e-07,1.177218e+00
12,6.500000e-03,9.428126e-01,1.618763e-09,4.067669e-03,9.428126e-01,9.468802e-01,4.238681e-07,1.288180e+00
13,7.000000e-03,9.428126e-01,1.632030e-09,4.767239e-03,9.428126e-01,9.475798e-01,4.968326e-07,1.399142e+00
14,7.500000e-03,9.428126e-01,1.643325e-09,5.522291e-03,9.428126e-01,9.483349e-01,5.181842e-07,1.510104e+00
15,8.000000e-03,9.428126e-01,1.663215e-09,6.332824e-03,9.428126e-01,9.491454e-01,5.347611e-07,1.621066e+00
16,8.500000e-03,9.428126e-01,1.697331e-09,7.198837e-03,9.428126e-01,9.500114e-01,5.843899e-07,1.732027e+00
17,9.000000e-03,9.428126e-01,1.724370e-09,8.120331e-03,9.428126e-01,9.509329e-01,5.810596e-07,1.842989e+00
18,9.500000e-03,9.428126e-01,1.753069e-09,9.097306e-03,9.428126e-01,9.519099e-01,5.867336e-07,1.953951e+00
19,1.000000e-02,9.428126e-01,1.780374e-09,1.012976e-02,9.428126e-01,9.529423e-01,5.997296e-07,2.064912e+00
20,1.050000e-02,9.428126e-01,1.801919e-09,1.121770e-02,9.428126e-01,9.540303e-01,5.838645e-07,2.175874e+00
21,1.100000e-02,9.428126e-01,1.820550e-09,1.236112e-02,9.428126e-01,9.551737e-01,5.932810e-07,2.286835e+00
22,1.150000e-02,9.428126e-01,1.835339e-09,1.356001e-02,9.428126e-01,9.563726e-01,5.782712e-07,2.397797e+00
23,1.200000e-02,9.428126e-01,1.846689e-09,1.481439e-02,9.428126e-01,9.576270e-01,5.913678e-07,2.508758e+00
24,1.250000e-02,9.428126e-01,1.851417e-09,1.612425e-02,9.428126e-01,9.589368e-01,5.760028e-07,2.619720e+00
25,1.300000e-02,9.428126e-01,1.855079e-09,1.748959e-02,9.428126e-01,9.603022e-01,5.709664e-07,2.730681e+00
26,1.350000e-02,9.428126e-01,1.859336e-09,1.891041e-02,9.428126e-01,9.617230e-01,5.772649e-07,2.841643e+00
27,1.400000e-02,9.428126e-01,1.865575e-09,2.038672e-02,9.428126e-01,9.631993e-01,5.725531e-07,2.952604e+00
28,1.450000e-02,9.428126e-01,1.874638e-09,2.191850e-02,9.428126e-01,9.647311e-01,5.799246e-07,3.063566e+00
29,1.500000e-02,9.428126e-01,1.885162e-09,2.350576e-02,9.428126e-01,9.663183e-01,5.981908e-07,3.174527e+00
30,1.550000e-02,9.428126e-01,1.897396e-09,2.514851e-02,9.428126e-01,9.679611e-01,5.945087e-07,3.285488e+00
31,1.600000e-02,9.428126e-01,1.909730e-09,2.684673e-02,9.428126e-01,9.696593e-01,5.990444e-07,3.396450e+00
32,1.650000e-02,9.428126e-01,1.921177e-09,2.860044e-02,9.428126e-01,9.714130e-01,6.100558e-07,3.507411e+00
33,1.700000e-02,9.428126e-01,1.926128e-09,3.040962e-02,9.428126e-01,9.732222e-01,6.022227e-07,3.618372e+00
34,1.750000e-02,9.428126e-01,1.930885e-09,3.227429e-02,9.428126e-01,9.750869e-01,6.043743e-07,3.729333e+00
35,1.800000e-02,9.428126e-01,1.940129e-09,3.419443e-02,9.428126e-01,9.770070e-01,6.089587e-07,3.840295e+00
36,1.850000e-02,9.428126e-01,1.950837e-09,3.617006e-02,9.428126e-01,9.789826e-01,6.197811e-07,3.951255e+00
37,1.900000e-02,9.428126e-01,1.965465e-09,3.820117e-02,9.428126e-01,9.810138e-01,6.199830e-07,4.062217e+00
38,1.950000e-02,9.428126e-01,1.983828e-09,4.028776e-02,9.428126e-01,9.831003e-01,6.362502e-07,4.173177e+00
39,2.000000e-02,9.428126e-01,2.006488e-09,4.242983e-02,9.428126e-01,9.852424e-01,6.434644e-07,4.284138e+00
40,2.050000e-02,9.428126e-01,2.027886e-09,4.462738e-02,9.428126e-01,9.874400e-01,6.550720e-07,4.395099e+00
41,2.100000e-02,9.428126e-01,2.045072e-09,4.688041e-02,9.428126e-01,9.896930e-01,6.581435e-07,4.506060e+00
42,2.150000e-02,9.428126e-01,2.066952e-09,4.918892e-02,9.428126e-01,9.920015e-01,6.611232e-07,4.617021e+00
43,2.200000e-02,9.428126e-01,2.088304e-09,5.155291e-02,9.428126e-01,9.943655e-01,6.669034e-07,4.727982e+00
44,2.250000e-02,9.428126e-01,2.111142e-09,5.397238e-02,9.428126e-01,9.967850e-01,6.785423e-07,4.838942e+00
45,2.300000e-02,9.428126e-01,2.127301e-09,5.644733e-02,9.428126e-01,9.992599e-01,6.784668e-07,4.949903e+00
46,2.350000e-02,9.428126e-01,2.145745e-09,5.897776e-02,9.428126e-01,1.001790e+00,6.774790e-07,5.060864e+00
47,2.400000e-02,9.428126e-01,2.165483e-09,6.156367e-02,9.428126e-01,1.004376e+00,6.909875e-07,5.171824e+00
48,2.450000e-02,9.428126e-01,2.188094e-09,6.420506e-02,9.428126e-01,1.007018e+00,7.045444e-07,5.282785e+00
49,2.500000e-02,9.428126e-01,2.210766e-09,6.690194e-02,9.428126e-01,1.009715e+00,7.028429e-07,5.393745e+00
50,2.550000e-02,9.428126e-01,2.225027e-09,6.965429e-02,9.428126e-01,1.012467e+00,7.055010e-07,5.504705e+00
51,2.600000e-02,9.428126e-01,2.223905e-09,7.246212e-02,9.428126e-01,1.015275e+00,6.805498e-07,5.615667e+00
52,2.650000e-02,9.428126e-01,2.229232e-09,7.532543e-02,9.428126e-01,1.018138e+00,6.913670e-07,5.726627e+00
53,2.700000e-02,9.428126e-01,2.234731e-09,7.824423e-02,9.428126e-01,1.021057e+00,7.049339e-07,5.837587e+00
54,2.750000e-02,9.428126e-01,2.237108e-09,8.121850e-02,9.428126e-01,1.024031e+00,6.937231e-07,5.948549e+00
55,2.800000e-02,9.428126e-01,2.249589e-09,8.424826e-02,9.428126e-01,1.027061e+00,7.105718e-07,6.059509e+00
56,2.850000e-02,9.428126e-01,2.271802e-09,8.733349e-02,9.428126e-01,1.030146e+00,7.354128e-07,6.170469e+00
57,2.900000e-02,9.428126e-01,2.294737e-09,9.047420e-02,9.428126e-01,1.033287e+00,7.465200e-07,6.281429e+00
58,2.950000e-02,9.428126e-01,2.325787e-09,9.367040e-02,9.428126e-01,1.036483e+00,7.678773e-07,6.392390e+00
59,3.000000e-02,9.428126e-01,2.367033e-09,9.692207e-02,9.428126e-01,1.039735e+00,7.902243e-07,6.503350e+00
60,3.050000e-02,9.428126e-01,2.411577e-09,1.002292e-01,9.428126e-01,1.043042e+00,8.026364e-07,6.614310e+00
61,3.100000e-02,9.428126e-01,2.440484e-09,1.035919e-01,9.428126e-01,1.046404e+00,7.944030e-07,6.725269e+00
62,3.150000e-02,9.428126e-01,2.478163e-09,1.070100e-01,9.428126e-01,1.049823e+00,8.221046e-07,6.836229e+00
63,3.200000e-02,9.428126e-01,2.481800e-09,1.104836e-01,9.428126e-01,1.053296e+00,7.678373e-07,6.947189e+00
64,3.250000e-02,9.428126e-01,2.476533e-09,1.140126e-01,9.428126e-01,1.056825e+00,7.529812e-07,7.058150e+00
65,3.300000e-02,9.428126e-01,2.475842e-09,1.175972e-01,9.428126e-01,1.060410e+00,7.738663e-07,7.169110e+00
66,3.350000e-02,9.428126e-01,2.478814e-09,1.212372e-01,9.428126e-01,1.064050e+00,7.708101e-07,7.280070e+00
67,3.400000e-02,9.428126e-01,2.479579e-09,1.249327e-01,9.428126e-01,1.067745e+00,7.685428e-07,7.391030e+00
68,3.450000e-02,9.428126e-01,2.488590e-09,1.286837e-01,9.428126e-01,1.071496e+00,7.866796e-07,7.501990e+00
69,3.500000e-02,9.428126e-01,2.506918e-09,1.324902e-01,9.428126e-01,1.075303e+00,8.057464e-07,7.612950e+00
70,3.550000e-02,9.428126e-01,2.533783e-09,1.363522e-01,9.428126e-01,1.079165e+00,8.238197e-07,7.723909e+00
71,3.600000e-02,9.428126e-01,2.567880e-09,1.402696e-01,9.428126e-01,1.083082e+00,8.436667e-07,7.834869e+00
72,3.650000e-02,9.428126e-01,2.607415e-09,1.442425e-01,9.428126e-01,1.087055e+00,8.633185e-07,7.945828e+00
73,3.700000e-02,9.428126e-01,2.636840e-09,1.482709e-01,9.428126e-01,1.091084e+00,8.573031e-07,8.056787e+00
74,3.750000e-02,9.428126e-01,2.670114e-09,1.523548e-01,9.428126e-01,1.095167e+00,8.785646e-07,8.167747e+00
75,3.800000e-02,9.428126e-01,2.693497e-09,1.564941e-01,9.428126e-01,1.099307e+00,8.664400e-07,8.278706e+00
76,3.850000e-02,9.428126e-01,2.721917e-09,1.606890e-01,9.428126e-01,1.103502e+00,8.877055e-07,8.389666e+00
77,3.900000e-02,9.428126e-01,2.742692e-09,1.649393e-01,9.428126e-01,1.107752e+00,8.765713e-07,8.500625e+00
78,3.950000e-02,9.428126e-01,2.770558e-09,1.692451e-01,9.428126e-01,1.112058e+00,8.995606e-07,8.611584e+00
79,4.000000e-02,9.428126e-01,2.792005e-09,1.736063e-01,9.428126e-01,1.116419e+00,8.894023e-07,8.722544e+00
80,4.050000e-02,9.428126e-01,2.822170e-09,1.780231e-01,9.428126e-01,1.120836e+00,9.158665e-07,8.833503e+00
81,4.100000e-02,9.428126e-01,2.853896e-09,1.824953e-01,9.428126e-01,1.125308e+00,9.215797e-07,8.944462e+00
82,4.150000e-02,9.428126e-01,2.887795e-09,1.870230e-01,9.428126e-01,1.129836e+00,9.382768e-07,9.055420e+00
83,4.200000e-02,9.428126e-01,2.908601e-09,1.916062e-01,9.428126e-01,1.134419e+00,9.243171e-07,9.166379e+00
84,4.250000e-02,9.428126e-01,2.947003e-09,1.962449e-01,9.428126e-01,1.139057e+00,9.610259e-07,9.277341e+00
85,4.300000e-02,9.428126e-01,3.006749e-09,2.009390e-01,9.428126e-01,1.143752e+00,1.003684e-06,9.388299e+00
86,4.350000e-02,9.428126e-01,3.076726e-09,2.056887e-01,9.428126e-01,1.148501e+00,1.050503e-06,9.499255e+00
87,4.400000e-02,9.428126e-01,3.099711e-09,2.104938e-01,9.428126e-01,1.153306e+00,9.731549e-07,9.610214e+00
88,4.450000e-02,9.428126e-01,3.126114e-09,2.153544e-01,9.428126e-01,1.158167e+00,9.877126e-07,9.721175e+00
89,4.500000e-02,9.428126e-01,3.152318e-09,2.202704e-01,9.428126e-01,1.163083e+00,9.977419e-07,9.832134e+00
90,4.550000e-02,9.428126e-01,3.178066e-09,2.252420e-01,9.428126e-01,1.168055e+00,1.002176e-06,9.943092e+00
91,4.600000e-02,9.428126e-01,3.209359e-09,2.302690e-01,9.428126e-01,1.173082e+00,1.013058e-06,1.005405e+01
92,4.650000e-02,9.428126e-01,3.262063e-09,2.353515e-01,9.428126e-01,1.178164e+00,1.073419e-06,1.016501e+01
93,4.700000e-02,9.428126e-01,3.296831e-09,2.404895e-01,9.428126e-01,1.183302e+00,1.041144e-06,1.027597e+01
94,4.750000e-02,9.428126e-01,3.322927e-09,2.456829e-01,9.428126e-01,1.188496e+00,1.029196e-06,1.038693e+01
95,4.800000e-02,9.428126e-01,3.353093e-09,2.509319e-01,9.428126e-01,1.193744e+00,1.055146e-06,1.049788e+01
96,4.850000e-02,9.428126e-01,3.383028e-09,2.562363e-01,9.428126e-01,1.199049e+00,1.058322e-06,1.060884e+01
97,4.900000e-02,9.428126e-01,3.402895e-09,2.615962e-01,9.428126e-01,1.204409e+00,1.044075e-06,1.071980e+01
98,4.950000e-02,9.428126e-01,3.442709e-09,2.670116e-01,9.428126e-01,1.209824e+00,1.092038e-06,1.083076e+01
99,5.000000e-02,9.428126e-01,3.475172e-09,2.724824e-01,9.428126e-01,1.215295e+00,1.076206e-06,1.094172e+01
100,5.050000e-02,9.428126e-01,3.514194e-09,2.780088e-01,9.428126e-01,1.220821e+00,1.106242e-06,1.105267e+01
101,5.100000e-02,9.428126e-01,3.552797e-09,2.835906e-01,9.428126e-01,1.226403e+00,1.104876e-06,1.116363e+01
102,5.150000e-02,9.428126e-01,3.602480e-09,2.892279e-01,9.428126e-01,1.232041e+00,1.144685e-06,1.127459e+01
103,5.200000e-02,9.428126e-01,3.658353e-09,2.949207e-01,9.428126e-01,1.237733e+00,1.163968e-06,1.138555e+01
104,5.250000e-02,9.428126e-01,3.697221e-09,3.006689e-01,9.428126e-01,1.243482e+00,1.148144e-06,1.149650e+01
105,5.300000e-02,9.428126e-01,3.720190e-09,3.064726e-01,9.428126e-01,1.249285e+00,1.129373e-06,1.160746e+01
106,5.350000e-02,9.428126e-01,3.744440e-09,3.123319e-01,9.428126e-01,1.255144e+00,1.136252e-06,1.171842e+01
107,5.400000e-02,9.428126e-01,3.796925e-09,3.182465e-01,9.428126e-01,1.261059e+00,1.197662e-06,1.182938e+01
108,5.450000e-02,9.428126e-01,3.860355e-09,3.242167e-01,9.428126e-01,1.267029e+00,1.216410e-06,1.194034e+01
109,5.500000e-02,9.428126e-01,3.901745e-09,3.302424e-01,9.428126e-01,1.273055e+00,1.199281e-06,1.205129e+01
110,5.550000e-02,9.428126e-01,3.945051e-09,3.363235e-01,9.428126e-01,1.279136e+00,1.212707e-06,1.216225e+01
111,5.600000e-02,9.428126e-01,3.973068e-09,3.424601e-01,9.428126e-01,1.285273e+00,1.198418e-06,1.227321e+01
112,5.650000e-02,9.428126e-01,4.007056e-09,3.486522e-01,9.428126e-01,1.291465e+00,1.212959e-06,1.238417e+01
113,5.700000e-02,9.428126e-01,4.036841e-09,3.548997e-01,9.428126e-01,1.297712e+00,1.211553e-06,1.249512e+01
114,5.750000e-02,9.428126e-01,4.082155e-09,3.612028e-01,9.428126e-01,1.304015e+00,1.244048e-06,1.260608e+01
115,5.800000e-02,9.428126e-01,4.112338e-09,3.675613e-01,9.428126e-01,1.310374e+00,1.224839e-06,1.271704e+01
116,5.850000e-02,9.428126e-01,4.160483e-09,3.739753e-01,9.428126e-01,1.316788e+00,1.263143e-06,1.282800e+01
117,5.900000e-02,9.428126e-01,4.169634e-09,3.804448e-01,9.428126e-01,1.323257e+00,1.199469e-06,1.293895e+01
118,5.950000e-02,9.428126e-01,4.206214e-09,3.869697e-01,9.428126e-01,1.329782e+00,1.251227e-06,1.304991e+01
119,6.000000e-02,9.428126e-01,4.247968e-09,3.935502e-01,9.428126e-01,1.336363e+00,1.257350e-06,1.316087e+01
120,6.050000e-02,9.428126e-01,4.323928e-09,4.001861e-01,9.428126e-01,1.342999e+00,1.342526e-06,1.327182e+01
121,6.100000e-02,9.428126e-01,4.411104e-09,4.068775e-01,9.428126e-01,1.349690e+00,1.371661e-06,1.338278e+01
122,6.150000e-02,9.428126e-01,4.512550e-09,4.136243e-01,9.428126e-01,1.356437e+00,1.434507e-06,1.349373e+01
123,6.200000e-02,9.428126e-01,4.549708e-09,4.204267e-01,9.428126e-01,1.363239e+00,1.324470e-06,1.360469e+01
124,6.250000e-02,9.428126e-01,4.619579e-09,4.272845e-01,9.428126e-01,1.370097e+00,1.418830e-06,1.371564e+01
125,6.300000e-02,9.428126e-01,4.692955e-09,4.341978e-01,9.428126e-01,1.377010e+00,1.426645e-06,1.382660e+01
126,6.350000e-02,9.428126e-01,4.773165e-09,4.411666e-01,9.428126e-01,1.383979e+00,1.459699e-06,1.393756e+01
127,6.400000e-02,9.428126e-01,4.837487e-09,4.481908e-01,9.428126e-01,1.391003e+00,1.443951e-06,1.404851e+01
128,6.450000e-02,9.428126e-01,4.909846e-09,4.552705e-01,9.428126e-01,1.398083e+00,1.487398e-06,1.415947e+01
129,6.500000e-02,9.428126e-01,4.971790e-09,4.624058e-01,9.428126e-01,1.405218e+00,1.481697e-06,1.427042e+01
130,6.550000e-02,9.428126e-01,4.945131e-09,4.695964e-01,9.428126e-01,1.412409e+00,1.311016e-06,1.438138e+01
131,6.600000e-02,9.428126e-01,4.934526e-09,4.768426e-01,9.428126e-01,1.419655e+00,1.345035e-06,1.449233e+01
132,6.650000e-02,9.428126e-01,4.969412e-09,4.841443e-01,9.428126e-01,1.426957e+00,1.412259e-06,1.460331e+01
133,6.700000e-02,9.428126e-01,5.041068e-09,4.915014e-01,9.428126e-01,1.434314e+00,1.473715e-06,1.471426e+01
134,6.750000e-02,9.428126e-01,5.043474e-09,4.989140e-01,9.428126e-01,1.441727e+00,1.345262e-06,1.482521e+01
135,6.800000e-02,9.428126e-01,5.115702e-09,5.063821e-01,9.428126e-01,1.449195e+00,1.495861e-06,1.493616e+01
136,6.850000e-02,9.428126e-01,5.201830e-09,5.139056e-01,9.428126e-01,1.456718e+00,1.524394e-06,1.504713e+01
137,6.900000e-02,9.428126e-01,5.298632e-09,5.214847e-01,9.428126e-01,1.464297e+00,1.572274e-06,1.515807e+01
138,6.950000e-02,9.428126e-01,5.297421e-09,5.291192e-01,9.428126e-01,1.471932e+00,1.401686e-06,1.526903e+01
139,7.000000e-02,9.428126e-01,5.331855e-09,5.368092e-01,9.428126e-01,1.479622e+00,1.482840e-06,1.537998e+01
140,7.050000e-02,9.428126e-01,5.392972e-09,5.445547e-01,9.428126e-01,1.487367e+00,1.526276e-06,1.549095e+01
141,7.100000e-02,9.428126e-01,5.491157e-09,5.523556e-01,9.428126e-01,1.495168e+00,1.601393e-06,1.560190e+01
142,7.150000e-02,9.428126e-01,5.594029e-09,5.602120e-01,9.428126e-01,1.503025e+00,1.630171e-06,1.571285e+01
143,7.200000e-02,9.428126e-01,5.637145e-09,5.681239e-01,9.428126e-01,1.510937e+00,1.533910e-06,1.582381e+01
144,7.250000e-02,9.428126e-01,5.700374e-09,5.760913e-01,9.428126e-01,1.518904e+00,1.598788e-06,1.593476e+01
145,7.300000e-02,9.428126e-01,5.771439e-09,5.841142e-01,9.428126e-01,1.526927e+00,1.618730e-06,1.604573e+01
146,7.350000e-02,9.428126e-01,5.856494e-09,5.921925e-01,9.428126e-01,1.535005e+00,1.659564e-06,1.615668e+01
147,7.400000e-02,9.428126e-01,5.896555e-09,6.003263e-01,9.428126e-01,1.543139e+00,1.586782e-06,1.626763e+01
148,7.450000e-02,9.428126e-01,5.980827e-09,6.085156e-01,9.428126e-01,1.551328e+00,1.686153e-06,1.637858e+01
149,7.500000e-02,9.428126e-01,5.999410e-09,6.167604e-01,9.428126e-01,1.559573e+00,1.557202e-06,1.648954e+01
150,7.550000e-02,9.428126e-01,6.084138e-09,6.250606e-01,9.428126e-01,1.567873e+00,1.706164e-06,1.660049e+01
151,7.600000e-02,9.428126e-01,6.158099e-09,6.334164e-01,9.428126e-01,1.576229e+00,1.678861e-06,1.671145e+01
152,7.650000e-02,9.428126e-01,6.136051e-09,6.418276e-01,9.428126e-01,1.584640e+00,1.501463e-06,1.682240e+01
153,7.700000e-02,9.428126e-01,6.173897e-09,6.502942e-01,9.428126e-01,1.593107e+00,1.615937e-06,1.693336e+01
154,7.750000e-02,9.428126e-01,6.269592e-09,6.588164e-01,9.428126e-01,1.601629e+00,1.721303e-06,1.704433e+01
155,7.800000e-02,9.428126e-01,6.318764e-09,6.673940e-01,9.428127e-01,1.610207e+00,1.641529e-06,1.715528e+01
156,7.850000e-02,9.428126e-01,6.419564e-09,6.760271e-01,9.428127e-01,1.618840e+00,1.756690e-06,1.726622e+01
157,7.900000e-02,9.428126e-01,6.466058e-09,6.847157e-01,9.428127e-01,1.627528e+00,1.663541e-06,1.737719e+01
158,7.950000e-02,9.428126e-01,6.562522e-09,6.934598e-01,9.428127e-01,1.636272e+00,1.780141e-06,1.748813e+01
159,8.000000e-02,9.428126e-01,6.618003e-09,7.022593e-01,9.428127e-01,1.645072e+00,1.714026e-06,1.759910e+01
