step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,1.000000e-03,9.898685e-01,1.770415e-09,0.000000e+00,9.898685e-01,9.898685e-01,0.000000e+00,0.000000e+00
1,2.000000e-03,1.029218e+00,1.644885e-09,4.641947e-04,1.029218e+00,1.029682e+00,3.934912e+01,3.981331e+01
2,3.000000e-03,1.055460e+00,1.663876e-09,1.428856e-03,1.055460e+00,1.056889e+00,2.624241e+01,2.720707e+01
3,4.000000e-03,1.074103e+00,1.671972e-09,3.310608e-03,1.074103e+00,1.077414e+00,1.864321e+01,2.052496e+01
4,5.000000e-03,1.088092e+00,1.675500e-09,5.631574e-03,1.088092e+00,1.093724e+00,1.398903e+01,1.630999e+01
5,6.000000e-03,1.099016e+00,1.678806e-09,8.861908e-03,1.099016e+00,1.107878e+00,1.092374e+01,1.415408e+01
6,7.000000e-03,1.107801e+00,1.685772e-09,1.256905e-02,1.107801e+00,1.120370e+00,8.784648e+00,1.249179e+01
7,8.000000e-03,1.115025e+00,1.699575e-09,1.713310e-02,1.115025e+00,1.132158e+00,7.224162e+00,1.178820e+01
8,9.000000e-03,1.121071e+00,1.726948e-09,2.222899e-02,1.121071e+00,1.143300e+00,6.046000e+00,1.114190e+01
9,1.000000e-02,1.126203e+00,1.772281e-09,2.812855e-02,1.126203e+00,1.154332e+00,5.132181e+00,1.103174e+01
10,1.100000e-02,1.130611e+00,1.845901e-09,3.460774e-02,1.130611e+00,1.165219e+00,4.408002e+00,1.088718e+01
11,1.200000e-02,1.134435e+00,1.954269e-09,4.184873e-02,1.134435e+00,1.176284e+00,3.824020e+00,1.106502e+01
12,1.300000e-02,1.137781e+00,2.110872e-09,4.970467e-02,1.137781e+00,1.187486e+00,3.346250e+00,1.120219e+01
13,1.400000e-02,1.140732e+00,2.324697e-09,5.829285e-02,1.140732e+00,1.199025e+00,2.950561e+00,1.153874e+01
14,1.500000e-02,1.143351e+00,2.611867e-09,6.752011e-02,1.143351e+00,1.210871e+00,2.619347e+00,1.184661e+01
15,1.600000e-02,1.145691e+00,2.984200e-09,7.745991e-02,1.145691e+00,1.223151e+00,2.339469e+00,1.227928e+01
16,1.700000e-02,1.147792e+00,3.460117e-09,8.805454e-02,1.147792e+00,1.235846e+00,2.100937e+00,1.269556e+01
17,1.800000e-02,1.149688e+00,4.054426e-09,9.934908e-02,1.149688e+00,1.249037e+00,1.896037e+00,1.319058e+01
18,1.900000e-02,1.151406e+00,4.787690e-09,1.113084e-01,1.151406e+00,1.262715e+00,1.718740e+00,1.367805e+01
19,2.000000e-02,1.152971e+00,5.677757e-09,1.239597e-01,1.152971e+00,1.276930e+00,1.564277e+00,1.421560e+01
20,2.100000e-02,1.154399e+00,6.747300e-09,1.372820e-01,1.154399e+00,1.291681e+00,1.428849e+00,1.475109e+01
21,2.200000e-02,1.155709e+00,8.017174e-09,1.512914e-01,1.155709e+00,1.307000e+00,1.309401e+00,1.531882e+01
