step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
1,1.000000e-03,2.380952e-04,4.370540e-02,5.070492e-02,4.370540e-02,3.588480e-18,5.070492e-02,4.019539e-02,5.070492e-02,1.160152e+00,7.927316e-01
2,2.000000e-03,4.761905e-04,8.741081e-02,1.014098e-01,8.741081e-02,7.176960e-18,1.014098e-01,8.039078e-02,1.014098e-01,1.160152e+00,7.927316e-01
3,3.000000e-03,7.142857e-04,1.311162e-01,1.521147e-01,1.311162e-01,1.044189e-17,1.521147e-01,1.205862e-01,1.521147e-01,1.160152e+00,7.927316e-01
4,4.000000e-03,9.523810e-04,1.748216e-01,2.028197e-01,1.748216e-01,1.435392e-17,2.028197e-01,1.607816e-01,2.028197e-01,1.160152e+00,7.927316e-01
5,5.000000e-03,1.190476e-03,2.185270e-01,2.535246e-01,2.185270e-01,1.838122e-17,2.535246e-01,2.009770e-01,2.535246e-01,1.160152e+00,7.927316e-01
6,6.000000e-03,1.428571e-03,2.622324e-01,3.042295e-01,2.622324e-01,2.088378e-17,3.042295e-01,2.411723e-01,3.042295e-01,1.160152e+00,7.927316e-01
7,7.000000e-03,1.666667e-03,3.059378e-01,3.549344e-01,3.059378e-01,3.705415e-17,3.549344e-01,2.813677e-01,3.549344e-01,1.160152e+00,7.927316e-01
8,8.000000e-03,1.904762e-03,3.496432e-01,4.056393e-01,3.496432e-01,2.870784e-17,4.056393e-01,3.215631e-01,4.056393e-01,1.160152e+00,7.927316e-01
9,9.000000e-03,2.142857e-03,3.933486e-01,4.563442e-01,3.933486e-01,5.658074e-17,4.563442e-01,3.617585e-01,4.563442e-01,1.160152e+00,7.927316e-01
10,1.000000e-02,2.380952e-03,4.370540e-01,5.070492e-01,4.370540e-01,4.628971e-17,5.070492e-01,4.019539e-01,5.070492e-01,1.160152e+00,7.927316e-01
11,1.100000e-02,2.619048e-03,4.807595e-01,5.577541e-01,4.807595e-01,4.986278e-17,5.577541e-01,4.421493e-01,5.577541e-01,1.160152e+00,7.927316e-01
12,1.200000e-02,2.857143e-03,5.244649e-01,6.084590e-01,5.244649e-01,5.084746e-17,6.084590e-01,4.823447e-01,6.084590e-01,1.160152e+00,7.927316e-01
