step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000701e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752913e-02,4.386260e-03,-2.752913e-02,4.386259e-03,3.449375e-02,2.447584e-08,5.724345e-02,1.387997e+01,1.951261e-03,-2.092985e-01,7.276963e+02,6.018715e+02,0.000000e+00,3.300000e+04,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,1.999999e-01,2.000000e-01,2.000000e-01
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000946e+00,-2.000000e-01,9.428638e-01,4.345400e-06,0,0.000000e+00,0.000000e+00,-5.336516e-04,2.178302e-02,4.046424e-02,1.633895e-02,4.462162e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.754781e-02,4.389893e-03,-2.754781e-02,4.389896e-03,3.451807e-02,2.479624e-08,5.728250e-02,1.388929e+01,1.952637e-03,-5.879766e-02,7.278853e+02,6.504805e+02,1.250301e-02,3.300000e+04,0.000000e+00,9.428638e-01,9.433101e-01,4.986190e-06,8.924375e-01,1.999997e-01,2.000000e-01,1.999999e-01
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.001111e+00,-2.000000e-01,9.428638e-01,6.286659e-06,0,0.000000e+00,0.000000e+00,-1.027335e-03,4.287102e-02,8.096093e-02,3.240282e-02,1.720314e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.753412e-02,4.387640e-03,-2.753412e-02,4.387642e-03,3.450083e-02,2.491975e-08,5.725394e-02,1.388241e+01,1.951662e-03,-5.631744e-02,7.275626e+02,6.607076e+02,4.963801e-02,3.300000e+04,0.000000e+00,9.428638e-01,9.445842e-01,6.533676e-06,2.548202e+00,1.999996e-01,2.000000e-01,1.999999e-01
3,2.000000e-03,5.000000e-04,-1.000000e+00,1.001238e+00,-2.000000e-01,9.428638e-01,6.898171e-06,0,0.000000e+00,0.000000e+00,-1.525463e-03,6.404186e-02,1.214567e-01,4.846995e-02,3.835257e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752481e-02,4.386128e-03,-2.752481e-02,4.386130e-03,3.448913e-02,2.501158e-08,5.723455e-02,1.387772e+01,1.951000e-03,-5.545187e-02,7.273365e+02,6.657550e+02,1.114009e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.466991e-01,7.081846e-06,4.229893e+00,1.999994e-01,2.000000e-01,1.999998e-01
4,2.500000e-03,5.000000e-04,-1.000000e+00,1.001342e+00,-2.000000e-01,9.428638e-01,7.218356e-06,0,0.000000e+00,0.000000e+00,-2.023074e-03,8.520268e-02,1.619526e-01,6.453717e-02,6.785360e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751775e-02,4.384988e-03,-2.751775e-02,4.384990e-03,3.448027e-02,2.508488e-08,5.721986e-02,1.387417e+01,1.950499e-03,-5.502664e-02,7.271621e+02,6.688079e+02,1.977944e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.496492e-01,7.364943e-06,5.900213e+00,1.999993e-01,2.000000e-01,1.999998e-01
5,3.000000e-03,5.000000e-04,-1.000000e+00,1.001431e+00,-2.000000e-01,9.428638e-01,7.429970e-06,0,0.000000e+00,0.000000e+00,-2.520759e-03,1.063647e-01,2.024484e-01,8.060441e-02,1.057179e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751206e-02,4.384071e-03,-2.751206e-02,4.384073e-03,3.447312e-02,2.514194e-08,5.720800e-02,1.387130e+01,1.950094e-03,-5.472834e-02,7.270200e+02,6.708816e+02,3.088175e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.534356e-01,7.544099e-06,7.572858e+00,1.999991e-01,2.000000e-01,1.999997e-01
6,3.500000e-03,5.000000e-04,-1.000000e+00,1.001508e+00,-2.000000e-01,9.428638e-01,7.586656e-06,0,0.000000e+00,0.000000e+00,-3.018444e-03,1.275266e-01,2.429443e-01,9.667167e-02,1.519433e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.750728e-02,4.383304e-03,-2.750728e-02,4.383305e-03,3.446713e-02,2.518371e-08,5.719806e-02,1.386889e+01,1.949755e-03,-5.443453e-02,7.268999e+02,6.723943e+02,4.444699e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.580582e-01,7.670188e-06,9.245104e+00,1.999990e-01,2.000000e-01,1.999997e-01
7,4.000000e-03,5.000000e-04,-1.000000e+00,1.001576e+00,-2.000000e-01,9.428638e-01,7.710328e-06,0,0.000000e+00,0.000000e+00,-3.516139e-03,1.486885e-01,2.834402e-01,1.127390e-01,2.065304e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.750317e-02,4.382643e-03,-2.750317e-02,4.382645e-03,3.446197e-02,2.521161e-08,5.718950e-02,1.386682e+01,1.949464e-03,-5.408949e-02,7.267960e+02,6.735528e+02,6.047508e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.635169e-01,7.766126e-06,1.091741e+01,1.999988e-01,2.000000e-01,1.999997e-01
8,4.500000e-03,5.000000e-04,-1.000000e+00,1.001638e+00,-2.000000e-01,9.428638e-01,7.811944e-06,0,0.000000e+00,0.000000e+00,-4.013841e-03,1.698503e-01,3.239361e-01,1.288063e-01,2.694789e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.749956e-02,4.382064e-03,-2.749956e-02,4.382066e-03,3.445745e-02,2.522770e-08,5.718199e-02,1.386500e+01,1.949207e-03,-5.366288e-02,7.267045e+02,6.744720e+02,7.896596e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.698118e-01,7.844132e-06,1.258971e+01,1.999987e-01,2.000000e-01,1.999996e-01
9,5.000000e-03,5.000000e-04,-1.000000e+00,1.001695e+00,-2.000000e-01,9.428638e-01,7.897349e-06,0,0.000000e+00,0.000000e+00,-4.511549e-03,1.910122e-01,3.644320e-01,1.448736e-01,3.407889e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.749635e-02,4.381549e-03,-2.749635e-02,4.381550e-03,3.445342e-02,2.523436e-08,5.717531e-02,1.386338e+01,1.948980e-03,-5.313473e-02,7.266227e+02,6.752215e+02,9.991956e-01,3.300000e+04,0.000000e+00,9.428639e-01,9.769428e-01,7.910675e-06,1.426201e+01,1.999985e-01,2.000000e-01,1.999996e-01
