step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428638e-01,2.447584e-08,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428638e-01,2.479624e-08,4.462162e-04,9.428638e-01,9.433101e-01,4.986190e-06,8.924375e-01
2,1.500000e-03,9.428638e-01,2.491975e-08,1.720314e-03,9.428638e-01,9.445842e-01,6.533676e-06,2.548202e+00
3,2.000000e-03,9.428638e-01,2.501158e-08,3.835257e-03,9.428639e-01,9.466991e-01,7.081846e-06,4.229893e+00
4,2.500000e-03,9.428638e-01,2.508488e-08,6.785360e-03,9.428639e-01,9.496492e-01,7.364943e-06,5.900213e+00
5,3.000000e-03,9.428638e-01,2.514194e-08,1.057179e-02,9.428639e-01,9.534356e-01,7.544099e-06,7.572858e+00
6,3.500000e-03,9.428638e-01,2.518371e-08,1.519433e-02,9.428639e-01,9.580582e-01,7.670188e-06,9.245104e+00
7,4.000000e-03,9.428638e-01,2.521161e-08,2.065304e-02,9.428639e-01,9.635169e-01,7.766126e-06,1.091741e+01
8,4.500000e-03,9.428638e-01,2.522770e-08,2.694789e-02,9.428639e-01,9.698118e-01,7.844132e-06,1.258971e+01
9,5.000000e-03,9.428638e-01,2.523436e-08,3.407889e-02,9.428639e-01,9.769428e-01,7.910675e-06,1.426201e+01
10,5.500000e-03,9.428639e-01,2.523394e-08,4.204604e-02,9.428639e-01,9.849099e-01,7.970207e-06,1.593431e+01
11,6.000000e-03,9.428639e-01,2.522852e-08,5.084934e-02,9.428639e-01,9.937132e-01,8.024460e-06,1.760661e+01
12,6.500000e-03,9.428639e-01,2.521981e-08,6.048880e-02,9.428639e-01,1.003353e+00,8.074684e-06,1.927891e+01
13,7.000000e-03,9.428639e-01,2.520913e-08,7.096440e-02,9.428639e-01,1.013828e+00,8.121347e-06,2.095121e+01
14,7.500000e-03,9.428639e-01,2.519743e-08,8.227615e-02,9.428639e-01,1.025140e+00,8.165113e-06,2.262351e+01
15,8.000000e-03,9.428639e-01,2.518537e-08,9.442405e-02,9.428639e-01,1.037288e+00,8.205848e-06,2.429581e+01
16,8.500000e-03,9.428639e-01,2.517337e-08,1.074081e-01,9.428639e-01,1.050272e+00,8.244032e-06,2.596811e+01
17,9.000000e-03,9.428639e-01,2.516168e-08,1.212283e-01,9.428639e-01,1.064092e+00,8.279676e-06,2.764041e+01
18,9.500000e-03,9.428639e-01,2.515043e-08,1.358847e-01,9.428639e-01,1.078749e+00,8.312787e-06,2.931271e+01
19,1.000000e-02,9.428639e-01,2.513967e-08,1.513772e-01,9.428639e-01,1.094241e+00,8.344178e-06,3.098501e+01
20,1.050000e-02,9.428639e-01,2.512942e-08,1.677058e-01,9.428639e-01,1.110570e+00,8.373281e-06,3.265731e+01
21,1.100000e-02,9.428639e-01,2.511965e-08,1.848706e-01,9.428639e-01,1.127735e+00,8.400627e-06,3.432961e+01
22,1.150000e-02,9.428639e-01,2.511036e-08,2.028716e-01,9.428639e-01,1.145735e+00,8.426366e-06,3.600191e+01
23,1.200000e-02,9.428639e-01,2.510151e-08,2.217086e-01,9.428639e-01,1.164573e+00,8.450815e-06,3.767420e+01
24,1.250000e-02,9.428639e-01,2.509309e-08,2.413819e-01,9.428639e-01,1.184246e+00,8.474092e-06,3.934650e+01
25,1.300000e-02,9.428639e-01,2.508513e-08,2.618913e-01,9.428639e-01,1.204755e+00,8.495882e-06,4.101880e+01
26,1.350000e-02,9.428639e-01,2.507762e-08,2.832368e-01,9.428639e-01,1.226101e+00,8.517193e-06,4.269110e+01
27,1.400000e-02,9.428639e-01,2.507062e-08,3.054185e-01,9.428639e-01,1.248282e+00,8.537462e-06,4.436340e+01
28,1.450000e-02,9.428639e-01,2.506417e-08,3.284364e-01,9.428640e-01,1.271300e+00,8.557030e-06,4.603570e+01
29,1.500000e-02,9.428639e-01,2.505833e-08,3.522904e-01,9.428640e-01,1.295154e+00,8.575941e-06,4.770799e+01
30,1.550000e-02,9.428639e-01,2.505319e-08,3.769805e-01,9.428640e-01,1.319844e+00,8.594444e-06,4.938029e+01
31,1.600000e-02,9.428639e-01,2.504884e-08,4.025068e-01,9.428640e-01,1.345371e+00,8.612384e-06,5.105259e+01
32,1.650000e-02,9.428639e-01,2.504536e-08,4.288692e-01,9.428640e-01,1.371733e+00,8.630001e-06,5.272489e+01
33,1.700000e-02,9.428639e-01,2.504287e-08,4.560678e-01,9.428640e-01,1.398932e+00,8.647389e-06,5.439719e+01
34,1.750000e-02,9.428640e-01,2.504148e-08,4.841026e-01,9.428640e-01,1.426967e+00,8.664551e-06,5.606948e+01
35,1.800000e-02,9.428640e-01,2.504130e-08,5.129735e-01,9.428640e-01,1.455837e+00,8.681272e-06,5.774178e+01
36,1.850000e-02,9.428640e-01,2.504247e-08,5.426805e-01,9.428640e-01,1.485544e+00,8.697965e-06,5.941408e+01
37,1.900000e-02,9.428640e-01,2.504511e-08,5.732237e-01,9.428640e-01,1.516088e+00,8.714658e-06,6.108638e+01
38,1.950000e-02,9.428640e-01,2.504935e-08,6.046030e-01,9.428640e-01,1.547467e+00,8.730981e-06,6.275867e+01
39,2.000000e-02,9.428640e-01,2.505534e-08,6.368185e-01,9.428640e-01,1.579682e+00,8.747522e-06,6.443097e+01
