step,time,message
2,1.500000e-03,"theta bounds violated: [-1.000000, 1.001111]"
3,2.000000e-03,"theta bounds violated: [-1.000000, 1.001238]"
4,2.500000e-03,"theta bounds violated: [-1.000000, 1.001342]"
5,3.000000e-03,"theta bounds violated: [-1.000000, 1.001431]"
6,3.500000e-03,"theta bounds violated: [-1.000000, 1.001508]"
7,4.000000e-03,"theta bounds violated: [-1.000000, 1.001576]"
8,4.500000e-03,"theta bounds violated: [-1.000000, 1.001638]"
9,5.000000e-03,"theta bounds violated: [-1.000000, 1.001695]"
10,5.500000e-03,"theta bounds violated: [-1.000000, 1.001746]"
11,6.000000e-03,"theta bounds violated: [-1.000000, 1.001794]"
12,6.500000e-03,"theta bounds violated: [-1.000000, 1.001839]"
13,7.000000e-03,"theta bounds violated: [-1.000000, 1.001881]"
14,7.500000e-03,"theta bounds violated: [-1.000000, 1.001920]"
15,8.000000e-03,"theta bounds violated: [-1.000000, 1.001957]"
16,8.500000e-03,"theta bounds violated: [-1.000000, 1.001992]"
17,9.000000e-03,"theta bounds violated: [-1.000000, 1.002025]"
18,9.500000e-03,"theta bounds violated: [-1.000000, 1.002057]"
19,1.000000e-02,"theta bounds violated: [-1.000000, 1.002087]"
20,1.050000e-02,"theta bounds violated: [-1.000000, 1.002116]"
21,1.100000e-02,"theta bounds violated: [-1.000000, 1.002144]"
22,1.150000e-02,"theta bounds violated: [-1.000000, 1.002171]"
23,1.200000e-02,"theta bounds violated: [-1.000000, 1.002196]"
24,1.250000e-02,"theta bounds violated: [-1.000000, 1.002221]"
25,1.300000e-02,"theta bounds violated: [-1.000000, 1.002245]"
26,1.350000e-02,"theta bounds violated: [-1.000000, 1.002268]"
27,1.400000e-02,"theta bounds violated: [-1.000000, 1.002290]"
28,1.450000e-02,"theta bounds violated: [-1.000000, 1.002312]"
29,1.500000e-02,"theta bounds violated: [-1.000000, 1.002333]"
30,1.550000e-02,"theta bounds violated: [-1.000000, 1.002353]"
31,1.600000e-02,"theta bounds violated: [-1.000000, 1.002373]"
32,1.650000e-02,"theta bounds violated: [-1.000000, 1.002392]"
33,1.700000e-02,"theta bounds violated: [-1.000000, 1.002410]"
34,1.750000e-02,"theta bounds violated: [-1.000000, 1.002428]"
35,1.800000e-02,"theta bounds violated: [-1.000000, 1.002446]"
36,1.850000e-02,"theta bounds violated: [-1.000000, 1.002463]"
