step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,1.000000e-04,1.480947e+00,8.178317e-15,0.000000e+00,1.480947e+00,1.480947e+00,0.000000e+00,0.000000e+00
1,2.000000e-04,1.480931e+00,1.532668e-14,0.000000e+00,1.480931e+00,1.480931e+00,-1.587321e-01,-1.587321e-01
2,3.000000e-04,1.480917e+00,2.484719e-14,0.000000e+00,1.480917e+00,1.480917e+00,-1.491360e-01,-1.491360e-01
3,4.000000e-04,1.480902e+00,3.585740e-14,0.000000e+00,1.480902e+00,1.480902e+00,-1.412682e-01,-1.412682e-01
4,5.000000e-04,1.480889e+00,4.782740e-14,0.000000e+00,1.480889e+00,1.480889e+00,-1.346300e-01,-1.346300e-01
5,6.000000e-04,1.480876e+00,6.038719e-14,0.000000e+00,1.480876e+00,1.480876e+00,-1.289111e-01,-1.289111e-01
6,7.000000e-04,1.480864e+00,7.325756e-14,0.000000e+00,1.480864e+00,1.480864e+00,-1.239046e-01,-1.239046e-01
7,8.000000e-04,1.480852e+00,8.622073e-14,0.000000e+00,1.480852e+00,1.480852e+00,-1.194661e-01,-1.194661e-01
8,9.000000e-04,1.480840e+00,9.910536e-14,0.000000e+00,1.480840e+00,1.480840e+00,-1.154904e-01,-1.154904e-01
9,1.000000e-03,1.480829e+00,1.117774e-13,0.000000e+00,1.480829e+00,1.480829e+00,-1.118989e-01,-1.118989e-01
