step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_total,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,1.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,1.346188e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,3.177125e-02,-8.543318e-01,1.363928e-01,-8.543317e-01,1.363929e-01,1.070821e+00,2.374319e-05,1.776736e+00,4.306612e+02,1.211496e-01,-6.529371e-01,2.260768e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.451038e+00,9.428876e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,2.000000e-03,1.000000e-03,-1.000008e+00,1.029329e+00,-2.000000e-01,9.428702e-01,6.404023e-03,0,0.000000e+00,1.327850e+00,-4.242156e-02,9.951744e-04,8.295396e-02,2.798757e-02,1.678894e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,8.990263e-01,-8.491358e-01,1.351030e-01,-8.491358e-01,1.351030e-01,1.063864e+00,2.371364e-05,1.765212e+00,4.281793e+02,1.203625e-01,-9.902859e-01,2.258038e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.424970e+00,9.445728e-01,1.685268e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,3.000000e-03,1.000000e-03,-1.000009e+00,1.038154e+00,-2.000000e-01,9.428774e-01,7.201486e-03,0,0.000000e+00,1.327825e+00,-8.484326e-02,1.990296e-03,1.659255e-01,5.597854e-02,6.715582e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,8.872304e-01,-8.478497e-01,1.348735e-01,-8.478496e-01,1.348736e-01,1.062225e+00,2.386184e-05,1.762504e+00,4.275384e+02,1.201771e-01,-1.031783e+00,2.255566e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.400785e+00,9.496169e-01,5.044038e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,4.000000e-03,1.000000e-03,-1.000009e+00,1.044115e+00,-2.000000e-01,9.428849e-01,7.508420e-03,0,0.000000e+00,1.316738e+00,-1.272651e-01,2.985365e-03,2.489150e-01,8.397279e-02,1.511007e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.775918e-01,-8.472867e-01,1.347765e-01,-8.472866e-01,1.347766e-01,1.061512e+00,2.398308e-05,1.761323e+00,4.272567e+02,1.200964e-01,-9.932396e-01,2.254341e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.419061e+00,9.580190e-01,8.402122e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,5.000000e-03,1.000000e-03,-1.000008e+00,1.048586e+00,-2.000000e-01,9.428926e-01,7.659671e-03,0,0.000000e+00,1.324729e+00,-1.696871e-01,3.980385e-03,3.319240e-01,1.119706e-01,2.686238e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.854975e-01,-8.468974e-01,1.347093e-01,-8.468973e-01,1.347093e-01,1.061019e+00,2.401454e-05,1.760505e+00,4.270620e+02,1.200406e-01,-1.153519e+00,2.253485e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.462570e+00,9.697790e-01,1.176000e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,6.000000e-03,1.000000e-03,-1.000006e+00,1.052182e+00,-2.000000e-01,9.429004e-01,7.770144e-03,0,0.000000e+00,1.325850e+00,-2.121093e-01,4.975356e-03,4.149539e-01,1.399723e-01,4.197251e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.635207e-01,-8.465985e-01,1.346577e-01,-8.465984e-01,1.346577e-01,1.060641e+00,2.398398e-05,1.759878e+00,4.269125e+02,1.199978e-01,-1.221568e+00,2.252821e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.485279e+00,9.848969e-01,1.511787e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.000000e-03,1.000000e-03,-1.000006e+00,1.055196e+00,-2.000000e-01,9.429082e-01,7.855031e-03,0,0.000000e+00,1.331151e+00,-2.545316e-01,5.970279e-03,4.980059e-01,1.679780e-01,6.044048e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.558597e-01,-8.463544e-01,1.346155e-01,-8.463543e-01,1.346155e-01,1.060332e+00,2.393523e-05,1.759365e+00,4.267904e+02,1.199628e-01,-1.224327e+00,2.252276e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.502314e+00,1.003373e+00,1.847577e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,8.000000e-03,1.000000e-03,-1.000005e+00,1.057792e+00,-2.000000e-01,9.429161e-01,7.922968e-03,0,0.000000e+00,1.331140e+00,-2.969541e-01,6.965154e-03,5.810808e-01,1.959881e-01,8.226629e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.545977e-01,-8.461474e-01,1.345798e-01,-8.461474e-01,1.345798e-01,1.060069e+00,2.389437e-05,1.758931e+00,4.266869e+02,1.199332e-01,-1.200653e+00,2.251811e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.441873e+00,1.025206e+00,2.183370e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,9.000000e-03,1.000000e-03,-1.000005e+00,1.060073e+00,-2.000000e-01,9.429241e-01,7.979417e-03,0,0.000000e+00,1.327736e+00,-3.393768e-01,7.959981e-03,6.641794e-01,2.240027e-01,1.074500e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.511943e-01,-8.459675e-01,1.345488e-01,-8.459674e-01,1.345488e-01,1.059842e+00,2.386894e-05,1.758553e+00,4.265969e+02,1.199074e-01,-1.178177e+00,2.251406e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.510358e+00,1.050398e+00,2.519162e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.000000e-02,1.000000e-03,-1.000004e+00,1.062108e+00,-2.000000e-01,9.429321e-01,8.027686e-03,0,0.000000e+00,1.321983e+00,-3.817996e-01,8.954761e-03,7.473020e-01,2.520220e-01,1.359915e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.489817e-01,-8.458082e-01,1.345213e-01,-8.458082e-01,1.345213e-01,1.059640e+00,2.385707e-05,1.758219e+00,4.265172e+02,1.198846e-01,-1.167297e+00,2.251047e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.409940e+00,1.078947e+00,2.854955e+01,0.000000e+00,0.000000e+00,0.000000e+00
