step,time,E_CH,E_kin,E_mag,E_total,dE_total_dt
0,1.000000e-03,9.428638e-01,2.374319e-05,0.000000e+00,9.428876e-01,0.000000e+00
1,2.000000e-03,9.428702e-01,2.371364e-05,1.678894e-03,9.445728e-01,1.685268e+00
2,3.000000e-03,9.428774e-01,2.386184e-05,6.715582e-03,9.496169e-01,5.044038e+00
3,4.000000e-03,9.428849e-01,2.398308e-05,1.511007e-02,9.580190e-01,8.402122e+00
4,5.000000e-03,9.428926e-01,2.401454e-05,2.686238e-02,9.697790e-01,1.176000e+01
5,6.000000e-03,9.429004e-01,2.398398e-05,4.197251e-02,9.848969e-01,1.511787e+01
6,7.000000e-03,9.429082e-01,2.393523e-05,6.044048e-02,1.003373e+00,1.847577e+01
7,8.000000e-03,9.429161e-01,2.389437e-05,8.226629e-02,1.025206e+00,2.183370e+01
8,9.000000e-03,9.429241e-01,2.386894e-05,1.074500e-01,1.050398e+00,2.519162e+01
9,1.000000e-02,9.429321e-01,2.385707e-05,1.359915e-01,1.078947e+00,2.854955e+01
10,1.100000e-02,9.429402e-01,2.385397e-05,1.678909e-01,1.110855e+00,3.190748e+01
11,1.200000e-02,9.429483e-01,2.385496e-05,2.031482e-01,1.146120e+00,3.526541e+01
12,1.300000e-02,9.429565e-01,2.385675e-05,2.417634e-01,1.184744e+00,3.862334e+01
13,1.400000e-02,9.429646e-01,2.385764e-05,2.837365e-01,1.226725e+00,4.198128e+01
14,1.500000e-02,9.429728e-01,2.385728e-05,3.290676e-01,1.272064e+00,4.533923e+01
15,1.600000e-02,9.429811e-01,2.385604e-05,3.777565e-01,1.320761e+00,4.869719e+01
16,1.700000e-02,9.429893e-01,2.385453e-05,4.298034e-01,1.372817e+00,5.205515e+01
17,1.800000e-02,9.429976e-01,2.385328e-05,4.852083e-01,1.428230e+00,5.541313e+01
18,1.900000e-02,9.430059e-01,2.385257e-05,5.439711e-01,1.487001e+00,5.877112e+01
19,2.000000e-02,9.430142e-01,2.385253e-05,6.060919e-01,1.549130e+00,6.212912e+01
20,2.100000e-02,9.430225e-01,2.385316e-05,6.715707e-01,1.614617e+00,6.548713e+01
21,2.200000e-02,9.430309e-01,2.385440e-05,7.404075e-01,1.683462e+00,6.884515e+01
22,2.300000e-02,9.430392e-01,2.385620e-05,8.126023e-01,1.755665e+00,7.220319e+01
23,2.400000e-02,9.430476e-01,2.385854e-05,8.881552e-01,1.831227e+00,7.556124e+01
24,2.500000e-02,9.430560e-01,2.386143e-05,9.670661e-01,1.910146e+00,7.891930e+01
25,2.600000e-02,9.430644e-01,2.386488e-05,1.049335e+00,1.992423e+00,8.227738e+01
26,2.700000e-02,9.430728e-01,2.386893e-05,1.134962e+00,2.078059e+00,8.563547e+01
27,2.800000e-02,9.430813e-01,2.387362e-05,1.223947e+00,2.167052e+00,8.899357e+01
28,2.900000e-02,9.430897e-01,2.387898e-05,1.316290e+00,2.259404e+00,9.235169e+01
29,3.000000e-02,9.430982e-01,2.388507e-05,1.411992e+00,2.355114e+00,9.570982e+01
30,3.100000e-02,9.431067e-01,2.389190e-05,1.511051e+00,2.454182e+00,9.906798e+01
31,3.200000e-02,9.431151e-01,2.389954e-05,1.613469e+00,2.556608e+00,1.024261e+02
32,3.300000e-02,9.431236e-01,2.390800e-05,1.719245e+00,2.662392e+00,1.057843e+02
33,3.400000e-02,9.431322e-01,2.391735e-05,1.828379e+00,2.771535e+00,1.091425e+02
34,3.500000e-02,9.431407e-01,2.392761e-05,1.940871e+00,2.884036e+00,1.125007e+02
35,3.600000e-02,9.431492e-01,2.393885e-05,2.056721e+00,2.999895e+00,1.158590e+02
36,3.700000e-02,9.431577e-01,2.395111e-05,2.175930e+00,3.119112e+00,1.192172e+02
37,3.800000e-02,9.431663e-01,2.396445e-05,2.298497e+00,3.241687e+00,1.225755e+02
38,3.900000e-02,9.431749e-01,2.397891e-05,2.424422e+00,3.367621e+00,1.259338e+02
39,4.000000e-02,9.431834e-01,2.399455e-05,2.553706e+00,3.496913e+00,1.292921e+02
40,4.100000e-02,9.431920e-01,2.401144e-05,2.686348e+00,3.629564e+00,1.326504e+02
41,4.200000e-02,9.432006e-01,2.402963e-05,2.822348e+00,3.765572e+00,1.360088e+02
42,4.300000e-02,9.432092e-01,2.404917e-05,2.961706e+00,3.904940e+00,1.393671e+02
43,4.400000e-02,9.432178e-01,2.407014e-05,3.104423e+00,4.047665e+00,1.427255e+02
44,4.500000e-02,9.432264e-01,2.409258e-05,3.250499e+00,4.193749e+00,1.460839e+02
45,4.600000e-02,9.432350e-01,2.411656e-05,3.399932e+00,4.343191e+00,1.494424e+02
