step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428668e-01,2.248112e-05,0.000000e+00,9.428893e-01,9.428893e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428703e-01,2.568866e-05,4.492558e-04,9.428960e-01,9.433453e-01,1.344372e-02,9.119553e-01
2,1.500000e-03,9.428740e-01,2.592494e-05,1.728912e-03,9.428999e-01,9.446288e-01,7.805634e-03,2.567118e+00
3,2.000000e-03,9.428778e-01,2.559068e-05,3.853280e-03,9.429034e-01,9.467566e-01,6.845812e-03,4.255582e+00
4,2.500000e-03,9.428816e-01,2.501860e-05,6.815992e-03,9.429066e-01,9.497226e-01,6.479386e-03,5.931904e+00
5,3.000000e-03,9.428854e-01,2.443117e-05,1.061839e-02,9.429098e-01,9.535282e-01,6.451270e-03,7.611244e+00
6,3.500000e-03,9.428892e-01,2.397077e-05,1.526023e-02,9.429132e-01,9.581734e-01,6.760607e-03,9.290448e+00
7,4.000000e-03,9.428931e-01,2.369844e-05,2.074156e-02,9.429168e-01,9.636583e-01,7.171570e-03,1.096983e+01
8,4.500000e-03,9.428969e-01,2.356393e-05,2.706237e-02,9.429205e-01,9.699829e-01,7.445799e-03,1.264906e+01
9,5.000000e-03,9.429008e-01,2.352825e-05,3.422265e-02,9.429244e-01,9.771470e-01,7.691544e-03,1.432826e+01
10,5.500000e-03,9.429047e-01,2.352256e-05,4.222241e-02,9.429283e-01,9.851507e-01,7.793413e-03,1.600731e+01
11,6.000000e-03,9.429086e-01,2.355316e-05,5.106164e-02,9.429322e-01,9.939938e-01,7.903115e-03,1.768637e+01
12,6.500000e-03,9.429126e-01,2.359225e-05,6.074035e-02,9.429362e-01,1.003677e+00,7.919738e-03,1.936533e+01
13,7.000000e-03,9.429165e-01,2.360923e-05,7.125853e-02,9.429401e-01,1.014199e+00,7.962458e-03,2.104432e+01
14,7.500000e-03,9.429205e-01,2.364848e-05,8.261618e-02,9.429441e-01,1.025560e+00,7.997006e-03,2.272330e+01
15,8.000000e-03,9.429245e-01,2.362560e-05,9.481330e-02,9.429481e-01,1.037761e+00,7.960669e-03,2.440220e+01
16,8.500000e-03,9.429285e-01,2.363350e-05,1.078499e-01,9.429521e-01,1.050802e+00,7.933015e-03,2.608111e+01
17,9.000000e-03,9.429325e-01,2.363674e-05,1.217259e-01,9.429561e-01,1.064682e+00,8.047418e-03,2.776016e+01
18,9.500000e-03,9.429365e-01,2.362898e-05,1.364415e-01,9.429601e-01,1.079402e+00,8.039620e-03,2.943908e+01
19,1.000000e-02,9.429405e-01,2.362167e-05,1.519964e-01,9.429642e-01,1.094961e+00,8.060661e-03,3.111803e+01
20,1.050000e-02,9.429446e-01,2.361116e-05,1.683909e-01,9.429682e-01,1.111359e+00,8.055763e-03,3.279695e+01
21,1.100000e-02,9.429486e-01,2.360197e-05,1.856248e-01,9.429722e-01,1.128597e+00,8.084355e-03,3.447590e+01
22,1.150000e-02,9.429526e-01,2.361483e-05,2.036982e-01,9.429763e-01,1.146674e+00,8.063662e-03,3.615480e+01
23,1.200000e-02,9.429567e-01,2.357791e-05,2.226110e-01,9.429803e-01,1.165591e+00,8.054936e-03,3.783372e+01
24,1.250000e-02,9.429607e-01,2.354314e-05,2.423633e-01,9.429843e-01,1.185348e+00,7.995776e-03,3.951257e+01
25,1.300000e-02,9.429648e-01,2.353059e-05,2.629550e-01,9.429883e-01,1.205943e+00,8.092225e-03,4.119158e+01
26,1.350000e-02,9.429689e-01,2.353514e-05,2.843862e-01,9.429924e-01,1.227379e+00,8.158913e-03,4.287056e+01
27,1.400000e-02,9.429729e-01,2.354699e-05,3.066569e-01,9.429965e-01,1.249653e+00,8.108814e-03,4.454942e+01
28,1.450000e-02,9.429770e-01,2.357153e-05,3.297670e-01,9.430006e-01,1.272768e+00,8.233383e-03,4.622846e+01
29,1.500000e-02,9.429811e-01,2.354923e-05,3.537166e-01,9.430046e-01,1.296721e+00,8.111806e-03,4.790724e+01
30,1.550000e-02,9.429852e-01,2.353431e-05,3.785056e-01,9.430087e-01,1.321514e+00,8.133620e-03,4.958616e+01
31,1.600000e-02,9.429893e-01,2.352072e-05,4.041340e-01,9.430128e-01,1.347147e+00,8.148818e-03,5.126507e+01
32,1.650000e-02,9.429933e-01,2.349118e-05,4.306020e-01,9.430168e-01,1.373619e+00,8.106106e-03,5.294393e+01
33,1.700000e-02,9.429974e-01,2.348488e-05,4.579093e-01,9.430209e-01,1.400930e+00,8.171207e-03,5.462289e+01
34,1.750000e-02,9.430015e-01,2.346794e-05,4.860561e-01,9.430250e-01,1.429081e+00,8.145228e-03,5.630175e+01
35,1.800000e-02,9.430056e-01,2.345294e-05,5.150424e-01,9.430291e-01,1.458071e+00,8.150004e-03,5.798065e+01
36,1.850000e-02,9.430097e-01,2.343736e-05,5.448681e-01,9.430331e-01,1.487901e+00,8.148766e-03,5.965953e+01
37,1.900000e-02,9.430138e-01,2.343695e-05,5.755332e-01,9.430372e-01,1.518570e+00,8.195522e-03,6.133846e+01
38,1.950000e-02,9.430179e-01,2.344329e-05,6.070378e-01,9.430414e-01,1.550079e+00,8.231653e-03,6.301738e+01
39,2.000000e-02,9.430220e-01,2.343636e-05,6.393818e-01,9.430455e-01,1.582427e+00,8.193524e-03,6.469622e+01
40,2.050000e-02,9.430261e-01,2.345538e-05,6.725652e-01,9.430496e-01,1.615615e+00,8.273698e-03,6.637517e+01
41,2.100000e-02,9.430303e-01,2.345264e-05,7.065881e-01,9.430537e-01,1.649642e+00,8.222888e-03,6.805399e+01
42,2.150000e-02,9.430344e-01,2.348048e-05,7.414504e-01,9.430579e-01,1.684508e+00,8.322583e-03,6.973296e+01
43,2.200000e-02,9.430385e-01,2.346553e-05,7.771522e-01,9.430620e-01,1.720214e+00,8.210775e-03,7.141171e+01
44,2.250000e-02,9.430426e-01,2.347723e-05,8.136934e-01,9.430661e-01,1.756759e+00,8.286285e-03,7.309064e+01
45,2.300000e-02,9.430468e-01,2.346948e-05,8.510740e-01,9.430702e-01,1.794144e+00,8.240187e-03,7.476946e+01
46,2.350000e-02,9.430509e-01,2.346681e-05,8.892940e-01,9.430744e-01,1.832368e+00,8.257269e-03,7.644833e+01
47,2.400000e-02,9.430550e-01,2.348010e-05,9.283535e-01,9.430785e-01,1.871432e+00,8.304215e-03,7.812723e+01
48,2.450000e-02,9.430592e-01,2.346071e-05,9.682523e-01,9.430826e-01,1.911335e+00,8.218094e-03,7.980599e+01
49,2.500000e-02,9.430633e-01,2.346489e-05,1.008991e+00,9.430868e-01,1.952077e+00,8.284134e-03,8.148490e+01
50,2.550000e-02,9.430674e-01,2.346022e-05,1.050568e+00,9.430909e-01,1.993659e+00,8.265760e-03,8.316372e+01
51,2.600000e-02,9.430716e-01,2.345475e-05,1.092986e+00,9.430950e-01,2.036081e+00,8.264582e-03,8.484256e+01
52,2.650000e-02,9.430757e-01,2.344816e-05,1.136242e+00,9.430992e-01,2.079341e+00,8.262554e-03,8.652140e+01
53,2.700000e-02,9.430799e-01,2.344010e-05,1.180338e+00,9.431033e-01,2.123441e+00,8.258914e-03,8.820023e+01
54,2.750000e-02,9.430840e-01,2.343145e-05,1.225273e+00,9.431074e-01,2.168381e+00,8.256962e-03,8.987906e+01
55,2.800000e-02,9.430881e-01,2.342270e-05,1.271048e+00,9.431115e-01,2.214160e+00,8.256066e-03,9.155789e+01
56,2.850000e-02,9.430923e-01,2.341460e-05,1.317663e+00,9.431157e-01,2.260778e+00,8.257098e-03,9.323671e+01
57,2.900000e-02,9.430964e-01,2.340767e-05,1.365116e+00,9.431198e-01,2.308236e+00,8.259750e-03,9.491554e+01
58,2.950000e-02,9.431005e-01,2.340308e-05,1.413409e+00,9.431239e-01,2.356533e+00,8.265321e-03,9.659436e+01
59,3.000000e-02,9.431047e-01,2.340854e-05,1.462542e+00,9.431281e-01,2.405670e+00,8.293819e-03,9.827321e+01
60,3.050000e-02,9.431088e-01,2.341955e-05,1.512514e+00,9.431322e-01,2.455646e+00,8.316129e-03,9.995203e+01
