step,time,message
0,5.000000e-04,"theta bounds violated: [-1.000006, 1.021734]"
0,5.000000e-04,"divU large: L2=1.774485, Linf=430.268137"
1,1.000000e-03,"theta bounds violated: [-1.000012, 1.029430]"
1,1.000000e-03,"divU large: L2=1.775091, Linf=430.426090"
1,1.000000e-03,"internal energy increasing: dE_internal/dt=0.015697"
2,1.500000e-03,"theta bounds violated: [-1.000014, 1.034603]"
2,1.500000e-03,"divU large: L2=1.774203, Linf=430.215452"
2,1.500000e-03,"internal energy increasing: dE_internal/dt=0.007667"
3,2.000000e-03,"theta bounds violated: [-1.000016, 1.038548]"
3,2.000000e-03,"divU large: L2=1.773507, Linf=430.047471"
3,2.000000e-03,"internal energy increasing: dE_internal/dt=0.005468"
4,2.500000e-03,"theta bounds violated: [-1.000016, 1.041761]"
4,2.500000e-03,"divU large: L2=1.772963, Linf=429.914963"
4,2.500000e-03,"internal energy increasing: dE_internal/dt=0.004971"
5,3.000000e-03,"theta bounds violated: [-1.000015, 1.044483]"
5,3.000000e-03,"divU large: L2=1.772499, Linf=429.804241"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=0.005335"
6,3.500000e-03,"theta bounds violated: [-1.000015, 1.046849]"
6,3.500000e-03,"divU large: L2=1.772098, Linf=429.707512"
6,3.500000e-03,"internal energy increasing: dE_internal/dt=0.006051"
7,4.000000e-03,"theta bounds violated: [-1.000014, 1.048943]"
7,4.000000e-03,"divU large: L2=1.771747, Linf=429.621898"
7,4.000000e-03,"internal energy increasing: dE_internal/dt=0.006684"
8,4.500000e-03,"theta bounds violated: [-1.000013, 1.050824]"
8,4.500000e-03,"divU large: L2=1.771424, Linf=429.545059"
8,4.500000e-03,"internal energy increasing: dE_internal/dt=0.007251"
9,5.000000e-03,"theta bounds violated: [-1.000012, 1.052535]"
9,5.000000e-03,"divU large: L2=1.771128, Linf=429.475866"
9,5.000000e-03,"internal energy increasing: dE_internal/dt=0.007677"
10,5.500000e-03,"theta bounds violated: [-1.000011, 1.054098]"
10,5.500000e-03,"divU large: L2=1.770866, Linf=429.413674"
10,5.500000e-03,"internal energy increasing: dE_internal/dt=0.007902"
11,6.000000e-03,"theta bounds violated: [-1.000011, 1.055543]"
11,6.000000e-03,"divU large: L2=1.770635, Linf=429.356696"
11,6.000000e-03,"internal energy increasing: dE_internal/dt=0.008024"
12,6.500000e-03,"theta bounds violated: [-1.000010, 1.056879]"
12,6.500000e-03,"divU large: L2=1.770409, Linf=429.305045"
12,6.500000e-03,"internal energy increasing: dE_internal/dt=0.008075"
13,7.000000e-03,"theta bounds violated: [-1.000009, 1.058135]"
13,7.000000e-03,"divU large: L2=1.770212, Linf=429.256965"
13,7.000000e-03,"internal energy increasing: dE_internal/dt=0.008128"
14,7.500000e-03,"theta bounds violated: [-1.000009, 1.059308]"
14,7.500000e-03,"divU large: L2=1.770013, Linf=429.211751"
14,7.500000e-03,"internal energy increasing: dE_internal/dt=0.008134"
15,8.000000e-03,"theta bounds violated: [-1.000008, 1.060418]"
15,8.000000e-03,"divU large: L2=1.769843, Linf=429.170140"
15,8.000000e-03,"internal energy increasing: dE_internal/dt=0.008053"
16,8.500000e-03,"theta bounds violated: [-1.000007, 1.061456]"
16,8.500000e-03,"divU large: L2=1.769673, Linf=429.129704"
16,8.500000e-03,"internal energy increasing: dE_internal/dt=0.007978"
17,9.000000e-03,"theta bounds violated: [-1.000006, 1.062447]"
17,9.000000e-03,"divU large: L2=1.769532, Linf=429.093824"
17,9.000000e-03,"internal energy increasing: dE_internal/dt=0.007958"
18,9.500000e-03,"theta bounds violated: [-1.000006, 1.063391]"
18,9.500000e-03,"divU large: L2=1.769374, Linf=429.057401"
18,9.500000e-03,"internal energy increasing: dE_internal/dt=0.008038"
19,1.000000e-02,"theta bounds violated: [-1.000006, 1.064292]"
19,1.000000e-02,"divU large: L2=1.769230, Linf=429.023319"
19,1.000000e-02,"internal energy increasing: dE_internal/dt=0.008038"
20,1.050000e-02,"theta bounds violated: [-1.000005, 1.065154]"
20,1.050000e-02,"divU large: L2=1.769078, Linf=428.990047"
20,1.050000e-02,"internal energy increasing: dE_internal/dt=0.008148"
21,1.100000e-02,"theta bounds violated: [-1.000005, 1.065971]"
21,1.100000e-02,"divU large: L2=1.768953, Linf=428.959012"
21,1.100000e-02,"internal energy increasing: dE_internal/dt=0.008045"
22,1.150000e-02,"theta bounds violated: [-1.000004, 1.066759]"
22,1.150000e-02,"divU large: L2=1.768834, Linf=428.929763"
22,1.150000e-02,"internal energy increasing: dE_internal/dt=0.008088"
23,1.200000e-02,"theta bounds violated: [-1.000004, 1.067514]"
23,1.200000e-02,"divU large: L2=1.768723, Linf=428.901450"
23,1.200000e-02,"internal energy increasing: dE_internal/dt=0.008057"
24,1.250000e-02,"theta bounds violated: [-1.000004, 1.068243]"
24,1.250000e-02,"divU large: L2=1.768593, Linf=428.872612"
24,1.250000e-02,"internal energy increasing: dE_internal/dt=0.008187"
25,1.300000e-02,"theta bounds violated: [-1.000003, 1.068941]"
25,1.300000e-02,"divU large: L2=1.768502, Linf=428.847894"
25,1.300000e-02,"internal energy increasing: dE_internal/dt=0.008022"
26,1.350000e-02,"theta bounds violated: [-1.000003, 1.069615]"
26,1.350000e-02,"divU large: L2=1.768389, Linf=428.821342"
26,1.350000e-02,"internal energy increasing: dE_internal/dt=0.008120"
27,1.400000e-02,"theta bounds violated: [-1.000003, 1.070266]"
27,1.400000e-02,"divU large: L2=1.768288, Linf=428.797024"
27,1.400000e-02,"internal energy increasing: dE_internal/dt=0.008095"
