step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000701e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752913e-02,4.386260e-03,-2.752913e-02,4.386259e-03,3.449375e-02,2.447584e-08,5.724345e-02,1.387997e+01,1.951261e-03,-2.092985e-01,7.276963e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000946e+00,-2.000000e-01,9.428638e-01,4.345364e-06,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177786e-02,1.552315e-02,4.492559e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.754780e-02,4.389892e-03,-2.754780e-02,4.389894e-03,3.451805e-02,2.479626e-08,5.728248e-02,1.388928e+01,1.952636e-03,-5.886885e-02,7.278851e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.433131e-01,4.986191e-06,8.985168e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.001111e+00,-2.000000e-01,9.428638e-01,6.286642e-06,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370155e-02,2.919819e-02,1.728913e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.753407e-02,4.387632e-03,-2.753407e-02,4.387634e-03,3.450076e-02,2.491988e-08,5.725384e-02,1.388238e+01,1.951658e-03,-5.658962e-02,7.275613e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.445928e-01,6.533898e-06,2.559321e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000000e+00,1.001238e+00,-2.000000e-01,9.428638e-01,6.898068e-06,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256176e-01,4.318522e-02,3.853286e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752469e-02,4.386109e-03,-2.752469e-02,4.386111e-03,3.448898e-02,2.501205e-08,5.723430e-02,1.387766e+01,1.950991e-03,-5.605658e-02,7.273333e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.467171e-01,7.082401e-06,4.248752e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000000e+00,1.001342e+00,-2.000000e-01,9.428638e-01,7.218151e-06,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022865e-03,1.675345e-01,5.714707e-02,6.816006e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751753e-02,4.384954e-03,-2.751753e-02,4.384956e-03,3.448000e-02,2.508597e-08,5.721941e-02,1.387406e+01,1.950483e-03,-5.609382e-02,7.271564e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.496799e-01,7.365978e-06,5.925448e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.137066e+00,1.085379e+00,-1.924808e-01,3.353148e+00,4.820568e+03,0,0.000000e+00,0.000000e+00,-1.051280e-01,4.028945e-03,2.101307e-01,7.613959e-02,1.061853e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-7.240817e-01,5.531523e-01,-8.980591e-01,4.850824e-01,9.300407e-01,8.819917e-03,4.207738e+00,1.227883e+02,1.052221e-01,-6.369114e+02,1.616962e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.361968e+00,3.372586e+00,4.838208e+03,4.845813e+03,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.124515e+00,1.100048e+00,-1.905187e-01,3.209960e+00,-2.863767e+02,0,0.000000e+00,0.000000e+00,-1.260953e-01,4.769726e-03,2.505064e-01,9.842490e-02,1.526080e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-4.817754e-01,1.719749e-01,-4.445524e-01,2.460591e-01,5.945966e-01,9.390341e-03,3.313031e+00,1.113739e+02,6.727093e-02,-9.958485e+01,1.526731e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.219350e+00,3.234611e+00,-2.852359e+02,-2.759513e+02,0.000000e+00,0.000000e+00,0.000000e+00
7,4.000000e-03,5.000000e-04,-1.074769e+00,1.128201e+00,-1.893241e-01,3.106898e+00,-2.061224e+02,0,0.000000e+00,0.000000e+00,-1.471534e-01,5.518248e-03,2.935509e-01,1.167261e-01,2.075642e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-3.669748e-01,1.279606e-01,-3.570897e-01,1.900756e-01,4.721148e-01,7.916274e-03,2.959314e+00,1.121437e+02,5.341369e-02,-8.351930e+01,1.484011e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.114815e+00,3.135571e+00,-2.090705e+02,-1.980792e+02,0.000000e+00,0.000000e+00,0.000000e+00
8,4.500000e-03,5.000000e-04,-1.067212e+00,1.140166e+00,-1.884856e-01,3.037673e+00,-1.384513e+02,0,0.000000e+00,0.000000e+00,-1.683301e-01,6.274122e-03,3.339342e-01,1.395492e-01,2.711150e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-3.583518e-01,1.241959e-01,-3.338403e-01,2.124947e-01,4.206119e-01,6.148625e-03,2.607336e+00,1.118397e+02,4.758680e-02,-7.723386e+01,1.420784e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.043821e+00,3.070933e+00,-1.419866e+02,-1.292764e+02,0.000000e+00,0.000000e+00,0.000000e+00
9,5.000000e-03,5.000000e-04,-1.064143e+00,1.140625e+00,-1.878597e-01,2.987361e+00,-1.006231e+02,0,0.000000e+00,0.000000e+00,-1.896903e-01,7.045065e-03,3.866654e-01,1.634504e-01,3.435220e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-3.444440e-01,1.188462e-01,-3.205865e-01,2.161074e-01,4.035562e-01,4.676027e-03,2.310609e+00,1.091733e+02,4.565717e-02,-6.941711e+01,1.349078e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.992037e+00,3.026389e+00,-1.035683e+02,-8.908693e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,5.500000e-03,5.000000e-04,-1.103648e+00,1.078158e+00,-1.388036e-01,5.876947e+00,5.779171e+03,0,0.000000e+00,0.000000e+00,-2.140246e-01,4.893757e-03,4.375593e-01,1.836525e-01,4.246061e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.633503e+00,3.448355e-01,-1.694949e+00,7.329689e-01,2.209046e+00,2.135470e-02,9.144298e+00,2.373114e+02,4.998502e-01,-6.935932e+02,1.693611e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.898301e+00,5.940762e+00,5.812528e+03,5.828745e+03,0.000000e+00,0.000000e+00,0.000000e+00
11,6.000000e-03,5.000000e-04,-1.112795e+00,1.048112e+00,-1.276039e-01,5.402699e+00,-9.484952e+02,0,0.000000e+00,0.000000e+00,-2.349282e-01,5.404990e-03,4.746074e-01,1.710808e-01,5.125317e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.258679e+00,3.320864e-01,-7.225046e-01,5.538977e-01,1.389755e+00,1.591425e-02,3.803224e+00,1.273087e+02,3.144656e-01,-4.585140e+02,9.961558e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.418613e+00,5.469867e+00,-9.593761e+02,-9.417910e+02,0.000000e+00,0.000000e+00,0.000000e+00
