x,theta
0.000000,-0.952578
0.000489,-0.952632
0.000977,-0.952687
0.001466,-0.952741
0.001954,-0.952795
0.002443,-0.952850
0.002931,-0.952904
0.003420,-0.952958
0.003908,-0.953013
0.004397,-0.953067
0.004885,-0.953121
0.005374,-0.953176
0.005862,-0.953230
0.006351,-0.953285
0.006839,-0.953339
0.007328,-0.953393
0.007816,-0.953448
0.008305,-0.953502
0.008793,-0.953556
0.009282,-0.953611
0.009770,-0.953665
0.010259,-0.953719
0.010747,-0.953774
0.011236,-0.953828
0.011724,-0.953882
0.012213,-0.953937
0.012702,-0.953991
0.013190,-0.954045
0.013679,-0.954100
0.014167,-0.954154
0.014656,-0.954208
0.015144,-0.954263
0.015633,-0.954317
0.016121,-0.954372
0.016610,-0.954426
0.017098,-0.954480
0.017587,-0.954535
0.018075,-0.954589
0.018564,-0.954643
0.019052,-0.954698
0.019541,-0.954752
0.020029,-0.954806
0.020518,-0.954861
0.021006,-0.954915
0.021495,-0.954969
0.021983,-0.955024
0.022472,-0.955078
0.022960,-0.955132
0.023449,-0.955187
0.023937,-0.955241
0.024426,-0.955295
0.024915,-0.955350
0.025403,-0.955404
0.025892,-0.955458
0.026380,-0.955513
0.026869,-0.955567
0.027357,-0.955622
0.027846,-0.955676
0.028334,-0.955730
0.028823,-0.955785
0.029311,-0.955839
0.029800,-0.955893
0.030288,-0.955948
0.030777,-0.956002
0.031265,-0.956056
0.031754,-0.956111
0.032242,-0.956165
0.032731,-0.956219
0.033219,-0.956274
0.033708,-0.956329
0.034196,-0.956385
0.034685,-0.956442
0.035173,-0.956498
0.035662,-0.956554
0.036150,-0.956610
0.036639,-0.956666
0.037128,-0.956722
0.037616,-0.956778
0.038105,-0.956834
0.038593,-0.956890
0.039082,-0.956946
0.039570,-0.957002
0.040059,-0.957058
0.040547,-0.957115
0.041036,-0.957171
0.041524,-0.957227
0.042013,-0.957283
0.042501,-0.957339
0.042990,-0.957395
0.043478,-0.957451
0.043967,-0.957507
0.044455,-0.957563
0.044944,-0.957619
0.045432,-0.957675
0.045921,-0.957731
0.046409,-0.957788
0.046898,-0.957844
0.047386,-0.957900
0.047875,-0.957956
0.048363,-0.958012
0.048852,-0.958068
0.049340,-0.958124
0.049829,-0.958180
0.050318,-0.958236
0.050806,-0.958292
0.051295,-0.958348
0.051783,-0.958404
0.052272,-0.958461
0.052760,-0.958517
0.053249,-0.958573
0.053737,-0.958629
0.054226,-0.958685
0.054714,-0.958741
0.055203,-0.958797
0.055691,-0.958853
0.056180,-0.958909
0.056668,-0.958965
0.057157,-0.959021
0.057645,-0.959077
0.058134,-0.959134
0.058622,-0.959190
0.059111,-0.959246
0.059599,-0.959302
0.060088,-0.959358
0.060576,-0.959414
0.061065,-0.959470
0.061553,-0.959526
0.062042,-0.959582
0.062531,-0.959638
0.063019,-0.959694
0.063508,-0.959750
0.063996,-0.959807
0.064485,-0.959863
0.064973,-0.959919
0.065462,-0.959975
0.065950,-0.960031
0.066439,-0.960087
0.066927,-0.960124
0.067416,-0.960146
0.067904,-0.960167
0.068393,-0.960188
0.068881,-0.960210
0.069370,-0.960231
0.069858,-0.960252
0.070347,-0.960274
0.070835,-0.960295
0.071324,-0.960316
0.071812,-0.960338
0.072301,-0.960359
0.072789,-0.960380
0.073278,-0.960401
0.073766,-0.960423
0.074255,-0.960444
0.074744,-0.960465
0.075232,-0.960487
0.075721,-0.960508
0.076209,-0.960529
0.076698,-0.960551
0.077186,-0.960572
0.077675,-0.960593
0.078163,-0.960614
0.078652,-0.960636
0.079140,-0.960657
0.079629,-0.960678
0.080117,-0.960700
0.080606,-0.960721
0.081094,-0.960742
0.081583,-0.960764
0.082071,-0.960785
0.082560,-0.960806
0.083048,-0.960827
0.083537,-0.960849
0.084025,-0.960870
0.084514,-0.960891
0.085002,-0.960913
0.085491,-0.960934
0.085979,-0.960955
0.086468,-0.960977
0.086957,-0.960998
0.087445,-0.961019
0.087934,-0.961040
0.088422,-0.961062
0.088911,-0.961083
0.089399,-0.961104
0.089888,-0.961126
0.090376,-0.961147
0.090865,-0.961168
0.091353,-0.961190
0.091842,-0.961211
0.092330,-0.961232
0.092819,-0.961254
0.093307,-0.961275
0.093796,-0.961296
0.094284,-0.961317
0.094773,-0.961339
0.095261,-0.961360
0.095750,-0.961381
0.096238,-0.961403
0.096727,-0.961424
0.097215,-0.961445
0.097704,-0.961467
0.098192,-0.961488
0.098681,-0.961509
0.099170,-0.961531
0.099658,-0.961552
0.100147,-0.961566
0.100635,-0.961563
0.101124,-0.961560
0.101612,-0.961558
0.102101,-0.961555
0.102589,-0.961552
0.103078,-0.961549
0.103566,-0.961547
0.104055,-0.961544
0.104543,-0.961541
0.105032,-0.961538
0.105520,-0.961536
0.106009,-0.961533
0.106497,-0.961530
0.106986,-0.961528
0.107474,-0.961525
0.107963,-0.961522
0.108451,-0.961519
0.108940,-0.961517
0.109428,-0.961514
0.109917,-0.961511
0.110405,-0.961508
0.110894,-0.961506
0.111383,-0.961503
0.111871,-0.961500
0.112360,-0.961497
0.112848,-0.961495
0.113337,-0.961492
