x,theta
0.000000,-0.406516
0.000489,-0.405833
0.000977,-0.405151
0.001466,-0.404469
0.001954,-0.403787
0.002443,-0.402191
0.002931,-0.400266
0.003420,-0.398342
0.003908,-0.396417
0.004397,-0.394074
0.004885,-0.391262
0.005374,-0.388449
0.005862,-0.385636
0.006351,-0.382754
0.006839,-0.379607
0.007328,-0.376459
0.007816,-0.373312
0.008305,-0.370165
0.008793,-0.367367
0.009282,-0.364590
0.009770,-0.361813
0.010259,-0.359036
0.010747,-0.357031
0.011236,-0.355395
0.011724,-0.353759
0.012213,-0.352123
0.012702,-0.351253
0.013190,-0.351475
0.013679,-0.351696
0.014167,-0.351918
0.014656,-0.352492
0.015144,-0.355102
0.015633,-0.357711
0.016121,-0.360320
0.016610,-0.362930
0.017098,-0.367848
0.017587,-0.373071
0.018075,-0.378293
0.018564,-0.383516
0.019052,-0.390270
0.019541,-0.397968
0.020029,-0.405665
0.020518,-0.413362
0.021006,-0.421764
0.021495,-0.431452
0.021983,-0.441139
0.022472,-0.450826
0.022960,-0.460626
0.023449,-0.471576
0.023937,-0.482526
0.024426,-0.493476
0.024915,-0.504426
0.025403,-0.515748
0.025892,-0.527148
0.026380,-0.538548
0.026869,-0.549948
0.027357,-0.561186
0.027846,-0.572297
0.028334,-0.583409
0.028823,-0.594520
0.029311,-0.605382
0.029800,-0.615652
0.030288,-0.625922
0.030777,-0.636192
0.031265,-0.646426
0.031754,-0.655531
0.032242,-0.664637
0.032731,-0.673743
0.033219,-0.682849
0.033708,-0.690975
0.034196,-0.698803
0.034685,-0.706631
0.035173,-0.714459
0.035662,-0.721667
0.036150,-0.728258
0.036639,-0.734850
0.037128,-0.741442
0.037616,-0.747771
0.038105,-0.753258
0.038593,-0.758744
0.039082,-0.764231
0.039570,-0.769718
0.040059,-0.774295
0.040547,-0.778846
0.041036,-0.783397
0.041524,-0.787949
0.042013,-0.791959
0.042501,-0.795747
0.042990,-0.799534
0.043478,-0.803322
0.043967,-0.806839
0.044455,-0.810016
0.044944,-0.813194
0.045432,-0.816371
0.045921,-0.819462
0.046409,-0.822157
0.046898,-0.824852
0.047386,-0.827547
0.047875,-0.830242
0.048363,-0.832589
0.048852,-0.834903
0.049340,-0.837217
0.049829,-0.839531
0.050318,-0.841648
0.050806,-0.843659
0.051295,-0.845671
0.051783,-0.847682
0.052272,-0.849599
0.052760,-0.851366
0.053249,-0.853133
0.053737,-0.854900
0.054226,-0.856642
0.054714,-0.858209
0.055203,-0.859776
0.055691,-0.861343
0.056180,-0.862910
0.056668,-0.864334
0.057157,-0.865734
0.057645,-0.867134
0.058134,-0.868534
0.058622,-0.869851
0.059111,-0.871109
0.059599,-0.872367
0.060088,-0.873625
0.060576,-0.874843
0.061065,-0.875979
0.061553,-0.877115
0.062042,-0.878251
0.062531,-0.879380
0.063019,-0.880409
0.063508,-0.881438
0.063996,-0.882466
0.064485,-0.883495
0.064973,-0.884449
0.065462,-0.885383
0.065950,-0.886317
0.066439,-0.887251
0.066927,-0.888140
0.067416,-0.888991
0.067904,-0.889841
0.068393,-0.890691
0.068881,-0.891520
0.069370,-0.892295
0.069858,-0.893069
0.070347,-0.893844
0.070835,-0.894618
0.071324,-0.895325
0.071812,-0.896031
0.072301,-0.896738
0.072789,-0.897445
0.073278,-0.898106
0.073766,-0.898751
0.074255,-0.899397
0.074744,-0.900042
0.075232,-0.900655
0.075721,-0.901220
0.076209,-0.901785
0.076698,-0.902350
0.077186,-0.902915
0.077675,-0.903480
0.078163,-0.904044
0.078652,-0.904609
0.079140,-0.905174
0.079629,-0.905653
0.080117,-0.906127
0.080606,-0.906600
0.081094,-0.907074
0.081583,-0.907548
0.082071,-0.908022
0.082560,-0.908496
0.083048,-0.908969
0.083537,-0.909412
0.084025,-0.909811
0.084514,-0.910210
0.085002,-0.910609
0.085491,-0.911008
0.085979,-0.911407
0.086468,-0.911806
0.086957,-0.912205
0.087445,-0.912604
0.087934,-0.912949
0.088422,-0.913286
0.088911,-0.913624
0.089399,-0.913961
0.089888,-0.914298
0.090376,-0.914636
0.090865,-0.914973
0.091353,-0.915311
0.091842,-0.915802
0.092330,-0.916065
0.092819,-0.916328
0.093307,-0.916591
0.093796,-0.916854
0.094284,-0.917117
0.094773,-0.917380
0.095261,-0.917643
0.095750,-0.917906
0.096238,-0.918169
0.096727,-0.918432
0.097215,-0.918695
0.097704,-0.918958
0.098192,-0.919221
0.098681,-0.919484
0.099170,-0.919747
0.099658,-0.920011
0.100147,-0.920253
0.100635,-0.920446
0.101124,-0.920639
0.101612,-0.920832
0.102101,-0.921025
0.102589,-0.921219
0.103078,-0.921412
0.103566,-0.921605
0.104055,-0.921798
0.104543,-0.921991
0.105032,-0.922184
0.105520,-0.922378
0.106009,-0.922571
0.106497,-0.922764
0.106986,-0.922957
0.107474,-0.923150
0.107963,-0.923344
0.108451,-0.923525
0.108940,-0.923670
0.109428,-0.923814
0.109917,-0.923959
0.110405,-0.924103
0.110894,-0.924248
0.111383,-0.924393
0.111871,-0.924537
0.112360,-0.924682
0.112848,-0.924827
0.113337,-0.924971
0.113825,-0.925116
0.114314,-0.925260
0.114802,-0.925405
0.115291,-0.925550
0.115779,-0.925694
0.116268,-0.925839
0.116756,-0.926143
0.117245,-0.926241
0.117733,-0.926339
0.118222,-0.926436
0.118710,-0.926534
0.119199,-0.926632
0.119687,-0.926730
0.120176,-0.926828
0.120664,-0.926926
0.121153,-0.927024
0.121641,-0.927122
0.122130,-0.927220
0.122618,-0.927317
0.123107,-0.927415
0.123596,-0.927513
0.124084,-0.927611
0.124573,-0.927709
0.125061,-0.927807
0.125550,-0.927905
0.126038,-0.928003
0.126527,-0.928100
0.127015,-0.928198
0.127504,-0.928296
0.127992,-0.928394
0.128481,-0.928492
0.128969,-0.928590
0.129458,-0.928688
0.129946,-0.928786
0.130435,-0.928884
0.130923,-0.928981
0.131412,-0.929079
0.131900,-0.929177
0.132389,-0.929275
0.132877,-0.929373
0.133366,-0.929469
0.133854,-0.929532
0.134343,-0.929596
0.134831,-0.929659
0.135320,-0.929723
0.135809,-0.929786
0.136297,-0.929850
0.136786,-0.929913
0.137274,-0.929977
0.137763,-0.930040
0.138251,-0.930104
0.138740,-0.930167
0.139228,-0.930231
0.139717,-0.930295
0.140205,-0.930358
0.140694,-0.930422
0.141182,-0.930485
0.141671,-0.930549
0.142159,-0.930612
0.142648,-0.930676
0.143136,-0.930739
0.143625,-0.930803
0.144113,-0.930866
0.144602,-0.930930
0.145090,-0.930993
0.145579,-0.931057
0.146067,-0.931121
0.146556,-0.931184
0.147044,-0.931248
0.147533,-0.931311
0.148021,-0.931375
0.148510,-0.931438
0.148999,-0.931502
0.149487,-0.931565
0.149976,-0.931629
0.150464,-0.931677
0.150953,-0.931724
0.151441,-0.931771
0.151930,-0.931818
0.152418,-0.931865
0.152907,-0.931913
0.153395,-0.931960
0.153884,-0.932007
0.154372,-0.932054
0.154861,-0.932101
0.155349,-0.932148
0.155838,-0.932195
0.156326,-0.932243
0.156815,-0.932290
0.157303,-0.932337
0.157792,-0.932384
0.158280,-0.932431
0.158769,-0.932478
0.159257,-0.932525
0.159746,-0.932572
0.160234,-0.932620
0.160723,-0.932667
0.161212,-0.932714
0.161700,-0.932761
0.162189,-0.932808
0.162677,-0.932855
0.163166,-0.932902
0.163654,-0.932950
0.164143,-0.932997
0.164631,-0.933044
0.165120,-0.933091
0.165608,-0.933138
0.166097,-0.933185
0.166585,-0.933232
0.167074,-0.933273
0.167562,-0.933313
0.168051,-0.933353
0.168539,-0.933392
0.169028,-0.933432
0.169516,-0.933471
0.170005,-0.933511
0.170493,-0.933551
0.170982,-0.933590
0.171470,-0.933630
0.171959,-0.933670
0.172447,-0.933709
0.172936,-0.933749
0.173425,-0.933788
0.173913,-0.933828
0.174402,-0.933868
0.174890,-0.933907
0.175379,-0.933947
0.175867,-0.933987
0.176356,-0.934026
0.176844,-0.934066
0.177333,-0.934105
0.177821,-0.934145
0.178310,-0.934185
0.178798,-0.934224
0.179287,-0.934264
0.179775,-0.934304
0.180264,-0.934343
0.180752,-0.934383
0.181241,-0.934422
0.181729,-0.934462
0.182218,-0.934502
0.182706,-0.934541
0.183195,-0.934581
0.183683,-0.934618
0.184172,-0.934655
0.184660,-0.934691
0.185149,-0.934728
0.185638,-0.934765
0.186126,-0.934801
0.186615,-0.934838
0.187103,-0.934874
0.187592,-0.934911
0.188080,-0.934948
0.188569,-0.934984
0.189057,-0.935021
0.189546,-0.935057
0.190034,-0.935094
0.190523,-0.935131
0.191011,-0.935167
0.191500,-0.935204
0.191988,-0.935240
0.192477,-0.935277
0.192965,-0.935313
0.193454,-0.935350
0.193942,-0.935387
0.194431,-0.935423
0.194919,-0.935460
0.195408,-0.935496
0.195896,-0.935533
0.196385,-0.935570
0.196873,-0.935606
0.197362,-0.935643
0.197851,-0.935679
0.198339,-0.935716
0.198828,-0.935752
0.199316,-0.935789
0.199805,-0.935826
0.200293,-0.935863
0.200782,-0.935900
0.201270,-0.935938
0.201759,-0.935975
0.202247,-0.936013
0.202736,-0.936050
0.203224,-0.936087
0.203713,-0.936125
0.204201,-0.936162
0.204690,-0.936200
0.205178,-0.936237
0.205667,-0.936275
0.206155,-0.936312
0.206644,-0.936350
0.207132,-0.936387
0.207621,-0.936424
0.208109,-0.936462
0.208598,-0.936499
0.209086,-0.936537
0.209575,-0.936574
0.210064,-0.936612
0.210552,-0.936649
0.211041,-0.936687
0.211529,-0.936724
0.212018,-0.936761
0.212506,-0.936799
0.212995,-0.936836
0.213483,-0.936874
0.213972,-0.936911
0.214460,-0.936949
0.214949,-0.936986
0.215437,-0.937024
0.215926,-0.937061
0.216414,-0.937098
0.216903,-0.937139
0.217391,-0.937183
0.217880,-0.937227
0.218368,-0.937271
0.218857,-0.937315
0.219345,-0.937358
0.219834,-0.937402
0.220322,-0.937446
0.220811,-0.937490
0.221299,-0.937534
0.221788,-0.937578
0.222277,-0.937622
0.222765,-0.937666
0.223254,-0.937710
0.223742,-0.937754
0.224231,-0.937798
0.224719,-0.937842
0.225208,-0.937885
0.225696,-0.937929
0.226185,-0.937973
0.226673,-0.938017
0.227162,-0.938061
0.227650,-0.938105
0.228139,-0.938149
0.228627,-0.938193
0.229116,-0.938237
0.229604,-0.938281
0.230093,-0.938325
0.230581,-0.938368
0.231070,-0.938412
0.231558,-0.938456
0.232047,-0.938500
0.232535,-0.938544
0.233024,-0.938588
0.233512,-0.938637
0.234001,-0.938696
0.234489,-0.938754
0.234978,-0.938812
0.235467,-0.938870
0.235955,-0.938929
0.236444,-0.938987
0.236932,-0.939045
0.237421,-0.939104
0.237909,-0.939162
0.238398,-0.939220
0.238886,-0.939279
0.239375,-0.939337
0.239863,-0.939395
0.240352,-0.939453
0.240840,-0.939512
0.241329,-0.939570
0.241817,-0.939628
0.242306,-0.939687
0.242794,-0.939745
0.243283,-0.939803
0.243771,-0.939862
0.244260,-0.939920
0.244748,-0.939978
0.245237,-0.940036
0.245725,-0.940095
0.246214,-0.940153
0.246702,-0.940211
0.247191,-0.940270
0.247680,-0.940328
0.248168,-0.940386
0.248657,-0.940445
0.249145,-0.940503
0.249634,-0.940561
0.250122,-0.940625
0.250611,-0.940708
0.251099,-0.940791
0.251588,-0.940873
0.252076,-0.940956
0.252565,-0.941039
0.253053,-0.941121
0.253542,-0.941204
0.254030,-0.941287
0.254519,-0.941369
0.255007,-0.941452
0.255496,-0.941535
0.255984,-0.941617
0.256473,-0.941700
0.256961,-0.941783
0.257450,-0.941865
0.257938,-0.941948
0.258427,-0.942030
0.258915,-0.942113
0.259404,-0.942196
0.259893,-0.942278
0.260381,-0.942361
0.260870,-0.942444
0.261358,-0.942526
0.261847,-0.942609
0.262335,-0.942692
0.262824,-0.942774
0.263312,-0.942857
0.263801,-0.942940
0.264289,-0.943022
0.264778,-0.943105
0.265266,-0.943188
0.265755,-0.943270
0.266243,-0.943353
0.266732,-0.943440
0.267220,-0.943560
0.267709,-0.943679
0.268197,-0.943798
0.268686,-0.943917
0.269174,-0.944036
0.269663,-0.944155
0.270151,-0.944274
0.270640,-0.944394
0.271128,-0.944513
0.271617,-0.944632
0.272106,-0.944751
0.272594,-0.944870
0.273083,-0.944989
0.273571,-0.945109
0.274060,-0.945228
0.274548,-0.945347
0.275037,-0.945466
0.275525,-0.945585
0.276014,-0.945704
0.276502,-0.945824
0.276991,-0.945943
0.277479,-0.946062
0.277968,-0.946181
0.278456,-0.946300
0.278945,-0.946419
0.279433,-0.946539
0.279922,-0.946658
0.280410,-0.946777
0.280899,-0.946896
0.281387,-0.947015
0.281876,-0.947134
0.282364,-0.947254
0.282853,-0.947373
0.283341,-0.947492
0.283830,-0.947664
0.284319,-0.947836
0.284807,-0.948007
0.285296,-0.948178
0.285784,-0.948350
0.286273,-0.948521
0.286761,-0.948693
0.287250,-0.948864
0.287738,-0.949036
0.288227,-0.949207
0.288715,-0.949378
0.289204,-0.949550
0.289692,-0.949721
0.290181,-0.949893
0.290669,-0.950064
0.291158,-0.950235
0.291646,-0.950407
0.292135,-0.950578
0.292623,-0.950750
0.293112,-0.950921
0.293600,-0.951093
0.294089,-0.951264
0.294577,-0.951435
0.295066,-0.951607
0.295554,-0.951778
0.296043,-0.951950
0.296532,-0.952121
0.297020,-0.952293
0.297509,-0.952464
0.297997,-0.952635
0.298486,-0.952807
0.298974,-0.952978
0.299463,-0.953150
0.299951,-0.953321
0.300440,-0.953558
0.300928,-0.953802
0.301417,-0.954046
0.301905,-0.954290
0.302394,-0.954534
0.302882,-0.954778
0.303371,-0.955022
0.303859,-0.955266
0.304348,-0.955510
0.304836,-0.955754
0.305325,-0.955998
0.305813,-0.956242
0.306302,-0.956486
0.306790,-0.956730
0.307279,-0.956974
0.307767,-0.957218
0.308256,-0.957462
0.308745,-0.957706
0.309233,-0.957950
0.309722,-0.958194
0.310210,-0.958438
0.310699,-0.958682
0.311187,-0.958925
0.311676,-0.959170
0.312164,-0.959413
0.312653,-0.959657
0.313141,-0.959901
0.313630,-0.960145
0.314118,-0.960389
0.314607,-0.960633
0.315095,-0.960877
0.315584,-0.961121
0.316072,-0.961365
0.316561,-0.961609
0.317049,-0.961928
0.317538,-0.962266
0.318026,-0.962605
0.318515,-0.962944
0.319003,-0.963282
0.319492,-0.963621
0.319980,-0.963960
0.320469,-0.964298
0.320957,-0.964637
0.321446,-0.964976
0.321935,-0.965315
0.322423,-0.965653
0.322912,-0.965992
0.323400,-0.966331
0.323889,-0.966669
0.324377,-0.967008
0.324866,-0.967347
0.325354,-0.967686
0.325843,-0.968024
0.326331,-0.968363
0.326820,-0.968702
0.327308,-0.969040
0.327797,-0.969379
0.328285,-0.969718
0.328774,-0.970056
0.329262,-0.970395
0.329751,-0.970734
0.330239,-0.971073
0.330728,-0.971411
0.331216,-0.971750
0.331705,-0.972089
0.332193,-0.972427
0.332682,-0.972766
0.333170,-0.973105
0.333659,-0.973718
0.334148,-0.974054
0.334636,-0.974390
0.335125,-0.974726
0.335613,-0.975062
0.336102,-0.975399
0.336590,-0.975735
0.337079,-0.976071
0.337567,-0.976407
0.338056,-0.976743
0.338544,-0.977079
0.339033,-0.977416
0.339521,-0.977752
0.340010,-0.978088
0.340498,-0.978424
0.340987,-0.978760
0.341475,-0.979096
0.341964,-0.979399
0.342452,-0.979457
0.342941,-0.979514
0.343429,-0.979572
0.343918,-0.979630
0.344406,-0.979687
0.344895,-0.979745
0.345383,-0.979803
0.345872,-0.979803
0.346361,-0.979137
0.346849,-0.978471
0.347338,-0.977805
0.347826,-0.977139
0.348315,-0.976473
0.348803,-0.975807
0.349292,-0.975141
0.349780,-0.974475
0.350269,-0.973089
0.350757,-0.971105
0.351246,-0.969122
0.351734,-0.967138
0.352223,-0.964641
0.352711,-0.960858
0.353200,-0.957075
0.353688,-0.953292
0.354177,-0.949444
0.354665,-0.942540
0.355154,-0.935637
0.355642,-0.928733
0.356131,-0.921829
0.356619,-0.910946
0.357108,-0.898782
0.357596,-0.886617
0.358085,-0.874453
0.358574,-0.858159
0.359062,-0.837595
0.359551,-0.817032
0.360039,-0.796468
0.360528,-0.773137
0.361016,-0.740386
0.361505,-0.707636
0.361993,-0.674885
0.362482,-0.642134
0.362970,-0.594936
0.363459,-0.547174
0.363947,-0.499413
0.364436,-0.451651
0.364924,-0.394228
0.365413,-0.332623
0.365901,-0.271018
0.366390,-0.209413
0.366878,-0.144975
0.367367,-0.076830
0.367855,-0.008685
0.368344,0.059460
0.368832,0.126864
0.369321,0.190622
0.369809,0.254380
0.370298,0.318138
0.370787,0.381895
0.371275,0.434111
0.371764,0.485104
0.372252,0.536096
0.372741,0.587089
0.373229,0.628427
0.373718,0.664325
0.374206,0.700223
0.374695,0.736121
0.375183,0.767186
0.375672,0.790194
0.376160,0.813202
0.376649,0.836210
0.377137,0.858198
0.377626,0.871964
0.378114,0.885729
0.378603,0.899495
0.379091,0.913261
0.379580,0.921849
0.380068,0.929493
0.380557,0.937136
0.381045,0.944780
0.381534,0.950148
0.382022,0.953877
0.382511,0.957606
0.383000,0.961336
0.383488,0.963854
0.383977,0.963878
0.384465,0.963902
0.384954,0.963927
0.385442,0.963951
0.385931,0.963975
0.386419,0.964000
0.386908,0.964024
0.387396,0.964048
0.387885,0.961569
0.388373,0.958315
0.388862,0.955061
0.389350,0.951808
0.389839,0.947058
0.390327,0.940943
0.390816,0.934828
0.391304,0.928713
0.391793,0.921534
0.392281,0.911298
0.392770,0.901061
0.393258,0.890825
0.393747,0.880588
0.394235,0.864350
0.394724,0.848073
0.395213,0.831797
0.395701,0.815520
0.396190,0.793070
0.396678,0.768327
0.397167,0.743584
0.397655,0.718841
0.398144,0.689101
0.398632,0.653603
0.399121,0.618104
0.399609,0.582605
0.400098,0.544798
0.400586,0.497758
0.401075,0.450718
0.401563,0.403678
0.402052,0.356638
0.402540,0.301010
0.403029,0.244788
0.403517,0.188567
0.404006,0.132346
0.404494,0.073930
0.404983,0.014439
0.405471,-0.045053
0.405960,-0.104545
0.406448,-0.162368
0.406937,-0.217753
0.407426,-0.273138
0.407914,-0.328523
0.408403,-0.382543
0.408891,-0.428297
0.409380,-0.474051
0.409868,-0.519805
0.410357,-0.565559
0.410845,-0.601190
0.411334,-0.635402
0.411822,-0.669614
0.412311,-0.703826
0.412799,-0.731606
0.413288,-0.755316
0.413776,-0.779027
0.414265,-0.802737
0.414753,-0.823611
0.415242,-0.839169
0.415730,-0.854726
0.416219,-0.870284
0.416707,-0.885363
0.417196,-0.895178
0.417684,-0.904994
0.418173,-0.914810
0.418661,-0.924625
0.419150,-0.931329
0.419638,-0.937343
0.420127,-0.943358
0.420616,-0.949372
0.421104,-0.954024
0.421593,-0.957579
0.422081,-0.961134
0.422570,-0.964689
0.423058,-0.967802
0.423547,-0.969831
0.424035,-0.971860
0.424524,-0.973889
0.425012,-0.975811
0.425501,-0.976637
0.425989,-0.977463
0.426478,-0.978290
0.426966,-0.979116
0.427455,-0.979942
0.427943,-0.980768
0.428432,-0.981594
0.428920,-0.982420
0.429409,-0.982882
0.429897,-0.982974
0.430386,-0.983066
0.430874,-0.983158
0.431363,-0.983250
0.431851,-0.983342
0.432340,-0.983434
0.432829,-0.983526
0.433317,-0.983618
0.433806,-0.982928
0.434294,-0.982750
0.434783,-0.982573
0.435271,-0.982395
0.435760,-0.982217
0.436248,-0.982039
0.436737,-0.981861
0.437225,-0.981683
0.437714,-0.981506
0.438202,-0.981328
0.438691,-0.981150
0.439179,-0.980972
0.439668,-0.980794
0.440156,-0.980616
0.440645,-0.980439
0.441133,-0.980261
0.441622,-0.980083
0.442110,-0.979857
0.442599,-0.979627
0.443087,-0.979396
0.443576,-0.979166
0.444064,-0.978935
0.444553,-0.978705
0.445042,-0.978474
0.445530,-0.978244
0.446019,-0.978013
0.446507,-0.977783
0.446996,-0.977553
0.447484,-0.977322
0.447973,-0.977092
0.448461,-0.976861
0.448950,-0.976631
0.449438,-0.976400
0.449927,-0.976170
0.450415,-0.975736
0.450904,-0.975556
0.451392,-0.975376
0.451881,-0.975196
0.452369,-0.975016
0.452858,-0.974836
0.453346,-0.974656
0.453835,-0.974476
0.454323,-0.974296
0.454812,-0.974116
0.455300,-0.973936
0.455789,-0.973756
0.456277,-0.973576
0.456766,-0.973396
0.457255,-0.973216
0.457743,-0.973035
0.458232,-0.972855
0.458720,-0.972675
0.459209,-0.972495
0.459697,-0.972315
0.460186,-0.972135
